time, value
645179, 1879
645183, 1873
645187, 1877
645191, 1875
645195, 1875
645199, 1875
645203, 1875
645207, 1875
645211, 1878
645215, 1874
645219, 1877
645223, 1876
645227, 1875
645231, 1878
645235, 1875
645239, 1877
645243, 1879
645247, 1873
645251, 1875
645255, 1877
645259, 1877
645263, 1878
645267, 1875
645271, 1875
645275, 1875
645279, 1879
645283, 1877
645287, 1875
645291, 1873
645295, 1875
645299, 1877
645303, 1877
645307, 1880
645311, 1877
645315, 1874
645319, 1877
645323, 1878
645327, 1877
645331, 1875
645335, 1875
645339, 1875
645343, 1878
645347, 1876
645351, 1877
645355, 1874
645359, 1873
645363, 1875
645367, 1877
645371, 1878
645375, 1877
645379, 1876
645383, 1878
645387, 1875
645391, 1883
645395, 1878
645399, 1883
645403, 1875
645407, 1873
645411, 1879
645415, 1873
645419, 1879
645423, 1875
645427, 1875
645431, 1877
645435, 1876
645439, 1881
645443, 1877
645447, 1881
645451, 1875
645455, 1877
645459, 1875
645463, 1877
645467, 1877
645471, 1876
645475, 1876
645479, 1878
645483, 1877
645487, 1874
645491, 1881
645495, 1877
645499, 1874
645503, 1877
645507, 1873
645511, 1877
645515, 1877
645519, 1875
645523, 1875
645527, 1874
645531, 1877
645535, 1875
645539, 1875
645543, 1875
645547, 1875
645551, 1877
645555, 1877
645559, 1872
645563, 1878
645567, 1877
645571, 1877
645575, 1874
645579, 1877
645583, 1874
645587, 1875
645591, 1875
645595, 1875
645599, 1878
645603, 1876
645607, 1879
645611, 1875
645615, 1881
645619, 1882
645623, 1879
645627, 1873
645631, 1874
645635, 1877
645639, 1874
645643, 1875
645647, 1882
645651, 1877
645655, 1874
645659, 1878
645663, 1878
645667, 1875
645671, 1874
645675, 1872
645679, 1875
645683, 1875
645687, 1874
645691, 1877
645695, 1877
645699, 1875
645703, 1877
645707, 1877
645711, 1875
645715, 1873
645719, 1874
645723, 1877
645727, 1877
645731, 1881
645735, 1875
645739, 1874
645743, 1875
645747, 1875
645751, 1876
645755, 1874
645759, 1878
645763, 1881
645767, 1874
645771, 1875
645775, 1873
645779, 1879
645783, 1877
645787, 1875
645791, 1875
645795, 1873
645799, 1879
645803, 1878
645807, 1872
645811, 1878
645815, 1872
645819, 1878
645823, 1876
645827, 1878
645831, 1878
645835, 1877
645839, 1879
645843, 1874
645847, 1877
645851, 1876
645855, 1877
645859, 1877
645863, 1874
645867, 1882
645871, 1874
645875, 1873
645879, 1879
645883, 1877
645887, 1882
645891, 1877
645895, 1874
645899, 1877
645903, 1875
645907, 1875
645911, 1876
645915, 1879
645919, 1877
645923, 1876
645927, 1877
645931, 1877
645935, 1878
645939, 1877
645943, 1877
645947, 1877
645951, 1875
645955, 1877
645959, 1878
645963, 1877
645967, 1876
645971, 1875
645975, 1883
645979, 1877
645983, 1877
645987, 1873
645991, 1879
645995, 1875
645999, 1874
646003, 1877
646007, 1877
646011, 1867
646015, 1873
646019, 1878
646023, 1879
646027, 1875
646031, 1877
646035, 1877
646039, 1879
646043, 1875
646047, 1877
646051, 1874
646055, 1875
646059, 1873
646063, 1875
646067, 1877
646071, 1875
646075, 1877
646079, 1878
646083, 1877
646087, 1877
646091, 1877
646095, 1875
646099, 1877
646103, 1876
646107, 1874
646111, 1873
646115, 1877
646119, 1872
646123, 1875
646127, 1877
646131, 1875
646135, 1875
646139, 1879
646143, 1875
646147, 1872
646151, 1877
646155, 1876
646159, 1882
646163, 1873
646167, 1874
646171, 1877
646175, 1872
646179, 1872
646183, 1877
646187, 1874
646191, 1872
646195, 1874
646199, 1875
646203, 1876
646207, 1874
646211, 1873
646215, 1881
646219, 1877
646223, 1873
646227, 1878
646231, 1874
646235, 1875
646239, 1875
646243, 1877
646247, 1874
646251, 1875
646255, 1875
646259, 1875
646263, 1873
646267, 1877
646271, 1874
646275, 1874
646279, 1878
646283, 1878
646287, 1876
646291, 1876
646295, 1875
646299, 1879
646303, 1877
646307, 1877
646311, 1877
646315, 1878
646319, 1877
646323, 1875
646327, 1873
646331, 1877
646335, 1876
646339, 1877
646343, 1875
646347, 1873
646351, 1875
646355, 1875
646359, 1877
646363, 1879
646367, 1881
646371, 1877
646375, 1875
646379, 1877
646383, 1874
646387, 1872
646391, 1875
646395, 1875
646399, 1881
646403, 1875
646407, 1878
646411, 1877
646415, 1875
646419, 1876
646423, 1877
646427, 1873
646431, 1873
646435, 1877
646439, 1874
646443, 1878
646447, 1875
646451, 1875
646455, 1874
646459, 1879
646463, 1875
646467, 1871
646471, 1877
646475, 1877
646479, 1872
646483, 1875
646487, 1875
646491, 1877
646495, 1874
646499, 1878
646503, 1877
646507, 1875
646511, 1876
646515, 1872
646519, 1875
646523, 1879
646527, 1879
646531, 1874
646535, 1878
646539, 1877
646543, 1877
646547, 1874
646551, 1875
646555, 1877
646559, 1877
646563, 1873
646567, 1874
646571, 1876
646575, 1875
646579, 1878
646583, 1877
646587, 1879
646591, 1876
646595, 1875
646599, 1874
646603, 1875
646607, 1878
646611, 1874
646615, 1875
646619, 1875
646623, 1872
646627, 1875
646631, 1875
646635, 1877
646639, 1877
646643, 1875
646647, 1877
646651, 1876
646655, 1876
646659, 1874
646663, 1875
646667, 1874
646671, 1877
646675, 1881
646679, 1874
646683, 1874
646687, 1879
646691, 1873
646695, 1877
646699, 1875
646703, 1877
646707, 1874
646711, 1872
646715, 1874
646719, 1882
646723, 1875
646727, 1875
646731, 1879
646735, 1875
646739, 1875
646743, 1878
646747, 1875
646751, 1875
646755, 1877
646759, 1877
646763, 1873
646767, 1881
646771, 1875
646775, 1876
646779, 1874
646783, 1878
646787, 1874
646791, 1879
