time, value
2002, 1879
12003, 1878
12004, 1875
12005, 1877
12006, 1877
12008, 1877
12009, 1877
12010, 1875
12011, 1877
12012, 1877
12013, 1875
12014, 1877
12015, 1875
12016, 1876
12017, 1876
12018, 1877
12019, 1878
12020, 1874
12021, 1878
12022, 1875
12023, 1877
12024, 1877
12025, 1875
12026, 1878
12027, 1875
12028, 1879
12029, 1878
12030, 1875
12031, 1875
12032, 1877
12033, 1875
12034, 1872
12035, 1878
12036, 1876
12037, 1875
12038, 1879
12039, 1878
12040, 1879
12041, 1877
12042, 1877
12043, 1876
12044, 1878
12045, 1877
12046, 1875
12047, 1877
12048, 1877
12049, 1877
12050, 1878
12051, 1878
12052, 1877
12053, 1876
12054, 1877
12055, 1879
12056, 1877
12057, 1876
12058, 1878
12059, 1877
12060, 1878
12061, 1878
12062, 1877
12063, 1875
12073, 1878
12074, 1878
12075, 1877
12076, 1878
12077, 1875
12078, 1878
12079, 1879
12080, 1879
12081, 1878
12082, 1877
12083, 1877
12084, 1877
12085, 1877
12086, 1878
12087, 1877
12088, 1876
12089, 1878
12090, 1877
12091, 1877
12092, 1879
12093, 1877
12094, 1877
12095, 1878
12096, 1877
12097, 1877
12098, 1878
12099, 1875
12100, 1875
12101, 1879
12102, 1877
12103, 1874
12104, 1877
12105, 1877
12106, 1879
12107, 1877
12108, 1875
12109, 1877
12110, 1878
12111, 1878
12112, 1876
12113, 1877
12114, 1878
12115, 1879
12116, 1877
12117, 1875
12118, 1879
12119, 1877
12120, 1875
12121, 1878
12122, 1877
12123, 1878
12124, 1877
12125, 1879
12126, 1878
12127, 1875
12128, 1877
12129, 1877
12130, 1879
12131, 1875
12132, 1877
12133, 1875
12134, 1877
12135, 1878
12136, 1875
12137, 1875
12138, 1876
12139, 1877
12140, 1878
12141, 1878
12142, 1877
12152, 1877
12153, 1878
12154, 1875
12155, 1877
12156, 1876
12157, 1877
12158, 1877
12159, 1879
12160, 1879
12161, 1879
12162, 1877
12163, 1877
12164, 1877
12165, 1877
12166, 1875
12167, 1877
12168, 1878
12169, 1876
12170, 1878
12171, 1879
12172, 1875
12173, 1875
12174, 1875
12175, 1877
12176, 1877
12177, 1877
12178, 1877
12179, 1877
12180, 1878
12181, 1877
12182, 1877
12183, 1878
12184, 1876
12185, 1877
12186, 1877
12187, 1877
12188, 1878
12189, 1877
12190, 1877
12191, 1876
12192, 1877
12193, 1876
12194, 1877
12195, 1877
12196, 1875
12197, 1878
12198, 1879
12199, 1879
12200, 1882
12201, 1877
12202, 1877
12203, 1877
12204, 1875
12205, 1878
12206, 1878
12207, 1877
12208, 1877
12209, 1876
12210, 1878
12211, 1877
12212, 1878
12213, 1879
12214, 1877
12215, 1877
12216, 1876
12217, 1877
12218, 1879
12219, 1879
12220, 1878
12221, 1877
12231, 1877
12232, 1879
12233, 1877
12234, 1879
12235, 1878
12236, 1878
12237, 1879
12238, 1877
12239, 1877
12240, 1878
12241, 1877
12242, 1877
12243, 1877
12244, 1877
12245, 1878
12246, 1875
12247, 1877
12248, 1879
12249, 1878
12250, 1878
12251, 1878
12252, 1875
12253, 1878
12254, 1877
12255, 1877
12256, 1877
12257, 1879
12258, 1877
12259, 1879
12260, 1877
12261, 1875
12262, 1879
12263, 1877
12264, 1876
12265, 1879
12266, 1877
12267, 1878
12268, 1878
12269, 1878
12270, 1879
12271, 1879
12272, 1875
12273, 1879
12274, 1881
12275, 1879
12276, 1875
12277, 1878
12278, 1877
12279, 1877
12280, 1877
12281, 1877
12282, 1879
12283, 1878
12284, 1876
12285, 1875
12286, 1878
12287, 1877
12288, 1879
12289, 1877
12290, 1877
12291, 1877
12292, 1877
12293, 1876
12294, 1875
12295, 1875
12296, 1877
12297, 1877
12298, 1877
12299, 1876
12300, 1878
12310, 1879
12311, 1874
12312, 1877
12313, 1875
12314, 1877
12315, 1876
12316, 1878
12317, 1877
12318, 1877
12319, 1875
12320, 1877
12321, 1876
12322, 1874
12323, 1879
12324, 1877
12325, 1875
12326, 1875
12327, 1877
12328, 1877
12329, 1876
12330, 1879
12331, 1877
12332, 1877
12333, 1878
12334, 1877
12335, 1877
12336, 1878
12337, 1876
12338, 1881
12339, 1877
12340, 1878
12341, 1879
12342, 1875
12343, 1877
12344, 1878
12345, 1877
12346, 1877
12347, 1878
12348, 1878
12349, 1875
12350, 1878
12351, 1877
12352, 1875
12353, 1876
12354, 1876
12355, 1878
12356, 1878
12357, 1879
12358, 1878
12359, 1877
12360, 1877
12361, 1877
12362, 1878
12363, 1875
12364, 1876
12365, 1877
12366, 1877
12367, 1877
12368, 1881
12369, 1878
12370, 1878
12371, 1877
12372, 1879
12373, 1875
12374, 1878
12375, 1877
12376, 1877
12377, 1879
12378, 1877
12379, 1877
12389, 1877
12390, 1877
12391, 1877
12392, 1877
12393, 1877
12394, 1875
12395, 1879
12396, 1877
12397, 1877
12398, 1878
12399, 1878
12400, 1875
12401, 1877
12402, 1877
12403, 1877
12404, 1875
12405, 1877
12406, 1875
12407, 1877
12408, 1878
12409, 1877
12410, 1877
12411, 1878
12412, 1875
12413, 1878
12414, 1881
12415, 1877
12416, 1875
12417, 1877
12418, 1879
12419, 1877
12420, 1877
12421, 1877
12422, 1879
12423, 1878
12424, 1879
12425, 1878
12426, 1878
12427, 1877
12428, 1877
12429, 1877
12430, 1878
12431, 1878
12432, 1879
12433, 1879
12434, 1881
12435, 1879
12436, 1876
12437, 1877
12438, 1879
12439, 1877
12440, 1876
12441, 1877
12442, 1879
12443, 1878
12444, 1877
12445, 1879
12446, 1876
12447, 1876
12448, 1875
12449, 1877
12450, 1877
12451, 1878
12452, 1879
12453, 1877
12454, 1877
12455, 1875
12456, 1877
12457, 1877
12458, 1878
12468, 1875
12469, 1876
12470, 1877
12471, 1877
12472, 1877
12473, 1879
12474, 1878
12475, 1877
12476, 1876
12477, 1875
12478, 1878
12479, 1878
12480, 1875
12481, 1878
12482, 1877
12483, 1878
12484, 1879
12485, 1877
12486, 1877
12487, 1877
12488, 1878
12489, 1877
12490, 1877
12491, 1877
12492, 1877
12493, 1875
12494, 1878
12495, 1876
12496, 1878
12497, 1875
12498, 1877
12499, 1878
12500, 1876
12501, 1875
12502, 1875
12503, 1877
12504, 1875
12505, 1878
12506, 1877
12507, 1876
12508, 1878
12509, 1877
12510, 1878
12511, 1877
12512, 1878
12513, 1876
12514, 1878
12515, 1877
12516, 1876
12517, 1876
12518, 1877
12519, 1879
12520, 1878
12521, 1879
12522, 1877
12523, 1877
12524, 1878
12525, 1877
12526, 1877
12527, 1876
12528, 1878
12529, 1878
12530, 1878
12531, 1876
12532, 1877
12533, 1875
12534, 1874
12535, 1876
12536, 1878
12537, 1878
12547, 1877
12548, 1877
12549, 1879
12550, 1878
12551, 1879
12552, 1877
12553, 1876
12554, 1878
12555, 1877
12556, 1879
12557, 1876
12558, 1875
12559, 1875
12560, 1879
12561, 1878
12562, 1875
12563, 1877
12564, 1877
12565, 1877
12566, 1875
12567, 1879
12568, 1878
12569, 1878
12570, 1877
12571, 1877
12572, 1879
12573, 1875
12574, 1878
12575, 1875
12576, 1877
12577, 1877
12578, 1875
12579, 1875
12580, 1876
12581, 1876
12582, 1879
12583, 1877
12584, 1876
12585, 1875
12586, 1876
12587, 1877
12588, 1879
12589, 1876
12590, 1877
12591, 1878
12592, 1876
12593, 1877
12594, 1879
12595, 1877
12596, 1876
12597, 1877
12598, 1876
12599, 1875
12600, 1877
12601, 1878
12602, 1879
12603, 1877
12604, 1879
12605, 1878
12606, 1877
12607, 1879
12608, 1878
12609, 1881
12610, 1878
12611, 1878
12612, 1878
12613, 1877
12614, 1878
12615, 1879
12616, 1877
12626, 1877
12627, 1878
12628, 1877
12629, 1877
12630, 1878
12631, 1878
12632, 1875
12633, 1876
12634, 1875
12635, 1878
12636, 1877
12637, 1878
12638, 1879
12639, 1877
12640, 1878
12641, 1878
12642, 1875
12643, 1878
12644, 1875
12645, 1876
12646, 1877
12647, 1877
12648, 1879
12649, 1877
12650, 1878
12651, 1877
12652, 1877
12653, 1877
12654, 1877
12655, 1879
12656, 1878
12657, 1878
12658, 1878
12659, 1877
12660, 1877
12661, 1877
12662, 1879
12663, 1876
12664, 1877
12665, 1875
12666, 1877
12667, 1875
12668, 1877
12669, 1877
12670, 1879
12671, 1877
12672, 1876
12673, 1878
12674, 1875
12675, 1877
12676, 1877
12677, 1874
12678, 1877
12679, 1879
12680, 1876
12681, 1879
12682, 1877
12683, 1877
12684, 1876
12685, 1875
12686, 1877
12687, 1877
12688, 1879
12689, 1875
12690, 1878
12691, 1878
12692, 1878
12693, 1875
12694, 1879
12695, 1878
12705, 1876
12706, 1878
12707, 1878
12708, 1879
12709, 1878
12710, 1877
12711, 1878
12712, 1879
12713, 1875
12714, 1877
12715, 1877
12716, 1877
12717, 1877
12718, 1879
12719, 1876
12720, 1875
12721, 1877
12722, 1877
12723, 1878
12724, 1879
12725, 1878
12726, 1876
12727, 1879
12728, 1878
12729, 1877
12730, 1879
12731, 1877
12732, 1878
12733, 1878
12734, 1876
12735, 1877
12736, 1877
12737, 1879
12738, 1877
12739, 1878
12740, 1878
12741, 1876
12742, 1877
12743, 1879
12744, 1879
12745, 1879
12746, 1877
12747, 1877
12748, 1876
12749, 1875
12750, 1876
12751, 1879
12752, 1878
12753, 1877
12754, 1878
12755, 1877
12756, 1877
12757, 1878
12758, 1878
12759, 1878
12760, 1877
12761, 1875
12762, 1877
12763, 1877
12764, 1879
12765, 1876
12766, 1877
12767, 1875
12768, 1878
12769, 1877
12770, 1877
12771, 1879
12772, 1878
12773, 1876
12774, 1873
12784, 1877
12785, 1878
12786, 1877
12787, 1878
12788, 1876
12789, 1877
12790, 1878
12791, 1877
12792, 1875
12793, 1877
12794, 1878
12795, 1878
12796, 1878
12797, 1876
12798, 1877
12799, 1877
12800, 1877
12801, 1877
12802, 1882
12803, 1874
12804, 1875
12805, 1877
12806, 1878
12807, 1879
12808, 1876
12809, 1879
12810, 1878
12811, 1877
12812, 1876
12813, 1878
12814, 1877
12815, 1877
12816, 1877
12817, 1875
12818, 1876
12819, 1878
