time, value, value2
24, 720, 3408
28, 720, 3409
32, 720, 3413
36, 723, 3421
40, 720, 3410
44, 721, 3410
48, 720, 3413
52, 722, 3415
56, 723, 3413
60, 720, 3409
64, 720, 3411
68, 720, 3409
72, 723, 3419
76, 725, 3419
80, 720, 3408
84, 721, 3409
88, 720, 3408
92, 721, 3411
96, 725, 3419
100, 720, 3408
104, 721, 3411
108, 720, 3409
112, 722, 3417
116, 723, 3415
120, 720, 3408
124, 721, 3409
128, 723, 3408
132, 722, 3412
136, 725, 3420
140, 720, 3408
144, 720, 3410
148, 721, 3409
152, 724, 3418
156, 724, 3422
160, 720, 3409
164, 720, 3413
168, 722, 3409
172, 720, 3415
176, 723, 3421
180, 720, 3408
184, 721, 3409
188, 720, 3408
192, 723, 3414
196, 727, 3417
200, 720, 3408
204, 721, 3410
208, 720, 3408
212, 723, 3411
216, 723, 3419
220, 720, 3408
224, 721, 3411
228, 720, 3410
232, 721, 3415
236, 725, 3421
240, 720, 3408
244, 720, 3409
248, 721, 3411
252, 725, 3414
256, 725, 3419
260, 720, 3408
264, 720, 3408
268, 721, 3408
272, 722, 3415
276, 726, 3418
280, 720, 3408
284, 720, 3411
288, 720, 3408
292, 721, 3411
296, 726, 3418
300, 720, 3408
304, 720, 3413
308, 720, 3411
312, 722, 3413
316, 725, 3418
320, 720, 3408
324, 720, 3411
328, 720, 3416
332, 723, 3417
336, 722, 3415
340, 720, 3411
344, 720, 3415
348, 720, 3410
352, 722, 3414
356, 725, 3415
360, 718, 3408
364, 721, 3412
368, 720, 3409
372, 721, 3418
376, 724, 3421
380, 720, 3408
384, 720, 3409
388, 720, 3409
392, 722, 3414
396, 725, 3421
400, 719, 3409
404, 720, 3408
408, 719, 3408
412, 723, 3413
416, 723, 3415
420, 720, 3408
424, 720, 3411
428, 721, 3410
432, 723, 3411
436, 722, 3421
440, 720, 3408
444, 721, 3408
448, 720, 3408
452, 722, 3413
456, 724, 3422
460, 720, 3408
464, 722, 3408
468, 720, 3412
472, 721, 3418
476, 720, 3418
480, 719, 3409
484, 720, 3408
488, 720, 3408
492, 721, 3419
496, 725, 3421
500, 720, 3408
504, 720, 3413
508, 720, 3413
512, 722, 3415
516, 724, 3418
520, 719, 3408
524, 720, 3414
528, 720, 3409
532, 723, 3415
536, 725, 3424
540, 720, 3408
544, 721, 3412
548, 721, 3410
552, 721, 3417
556, 725, 3415
560, 720, 3410
564, 720, 3411
568, 720, 3411
572, 721, 3417
576, 726, 3417
580, 720, 3408
584, 720, 3409
588, 723, 3409
592, 721, 3415
596, 723, 3418
600, 720, 3410
604, 720, 3408
608, 721, 3411
612, 720, 3417
616, 723, 3418
620, 719, 3408
624, 722, 3409
628, 720, 3408
632, 724, 3415
636, 722, 3422
640, 720, 3409
644, 720, 3413
648, 720, 3410
652, 721, 3415
656, 727, 3422
660, 722, 3408
664, 721, 3410
668, 720, 3411
672, 720, 3425
676, 723, 3414
680, 721, 3408
684, 720, 3408
688, 720, 3411
692, 726, 3415
696, 727, 3417
700, 720, 3409
704, 720, 3412
708, 720, 3408
712, 723, 3412
716, 722, 3418
720, 720, 3407
724, 721, 3411
728, 720, 3408
732, 721, 3413
736, 725, 3419
740, 720, 3408
744, 721, 3408
748, 720, 3409
752, 720, 3412
756, 725, 3415
760, 720, 3410
764, 720, 3412
768, 722, 3415
772, 723, 3414
776, 723, 3422
780, 720, 3407
784, 720, 3411
788, 721, 3408
792, 720, 3419
796, 723, 3422
800, 720, 3408
804, 721, 3415
808, 720, 3409
812, 723, 3413
816, 723, 3422
820, 720, 3408
824, 720, 3411
828, 720, 3413
832, 726, 3420
836, 723, 3418
840, 720, 3408
844, 721, 3413
848, 720, 3409
852, 723, 3415
856, 723, 3418
860, 720, 3408
864, 720, 3411
868, 720, 3409
872, 723, 3414
876, 723, 3415
880, 720, 3408
884, 721, 3413
888, 721, 3408
892, 721, 3418
896, 721, 3415
900, 720, 3406
904, 720, 3410
908, 720, 3413
912, 721, 3415
916, 726, 3422
920, 720, 3407
924, 721, 3408
928, 720, 3409
932, 722, 3411
936, 723, 3421
940, 720, 3408
944, 722, 3409
948, 720, 3409
952, 723, 3414
956, 725, 3417
960, 720, 3409
964, 720, 3408
968, 720, 3408
972, 724, 3417
976, 725, 3418
980, 720, 3409
984, 720, 3408
988, 720, 3410
992, 720, 3413
996, 722, 3417
1000, 720, 3408
1004, 721, 3408
1008, 721, 3408
1012, 723, 3412
1016, 723, 3418
1020, 720, 3408
1024, 720, 3411
1028, 720, 3413
1032, 722, 3413
1036, 723, 3419
1040, 720, 3409
1044, 720, 3409
1048, 720, 3411
1052, 722, 3415
1056, 722, 3415
1060, 720, 3408
1064, 720, 3413
1068, 720, 3408
1072, 721, 3417
1076, 721, 3419
1080, 720, 3408
1084, 720, 3408
1088, 720, 3408
1092, 721, 3415
1096, 725, 3418
1100, 719, 3408
1104, 720, 3410
1108, 720, 3409
1112, 722, 3415
1116, 723, 3415
1120, 720, 3408
1124, 723, 3408
1128, 720, 3410
1132, 722, 3413
1136, 722, 3419
1140, 720, 3408
1144, 720, 3408
1148, 720, 3408
1152, 723, 3414
1156, 723, 3419
1160, 721, 3411
1164, 720, 3409
1168, 720, 3409
1172, 722, 3414
1176, 724, 3423
1180, 720, 3408
1184, 721, 3408
1188, 720, 3409
1192, 723, 3411
1196, 724, 3419
1200, 720, 3408
1204, 719, 3408
1208, 720, 3408
1212, 721, 3415
1216, 725, 3422
1220, 720, 3408
1224, 720, 3408
1228, 720, 3411
1232, 720, 3418
1236, 723, 3419
1240, 720, 3410
1244, 720, 3409
1248, 720, 3408
1252, 721, 3411
1256, 725, 3418
1260, 720, 3408
1264, 720, 3409
1268, 721, 3409
1272, 722, 3415
1276, 723, 3419
1280, 719, 3407
1284, 721, 3409
1288, 720, 3411
1292, 724, 3418
1296, 723, 3415
1300, 720, 3408
1304, 720, 3415
1308, 722, 3409
1312, 720, 3413
1316, 723, 3421
1320, 720, 3409
1324, 720, 3408
1328, 720, 3409
1332, 721, 3411
1336, 726, 3419
1340, 720, 3407
1344, 721, 3413
1348, 720, 3410
1352, 722, 3414
1356, 724, 3415
1360, 720, 3408
1364, 721, 3409
1368, 720, 3410
1372, 721, 3413
1376, 725, 3414
1380, 720, 3408
1384, 720, 3410
1388, 720, 3408
1392, 722, 3415
1396, 723, 3415
1400, 720, 3409
1404, 721, 3409
1408, 721, 3408
1412, 720, 3413
1416, 724, 3414
1420, 721, 3408
1424, 721, 3409
1428, 720, 3410
