time, value, value2
1328056, 2257, 2571
1328060, 2261, 2576
1328064, 2263, 2576
1328068, 2257, 2570
1328072, 2257, 2570
1328076, 2259, 2573
1328080, 2260, 2575
1328084, 2261, 2576
1328088, 2256, 2571
1328092, 2256, 2573
1328096, 2256, 2571
1328100, 2262, 2575
1328104, 2262, 2578
1328108, 2257, 2571
1328112, 2257, 2574
1328116, 2257, 2572
1328120, 2259, 2575
1328124, 2266, 2576
1328128, 2256, 2570
1328132, 2258, 2571
1328136, 2259, 2570
1328140, 2261, 2576
1328144, 2261, 2576
1328148, 2258, 2570
1328152, 2259, 2570
1328156, 2256, 2571
1328160, 2258, 2576
1328164, 2261, 2578
1328168, 2256, 2569
1328172, 2256, 2574
1328176, 2257, 2574
1328180, 2257, 2574
1328184, 2262, 2577
1328188, 2256, 2571
1328192, 2257, 2574
1328196, 2256, 2573
1328200, 2260, 2576
1328204, 2263, 2576
1328208, 2256, 2569
1328212, 2258, 2571
1328216, 2256, 2571
1328220, 2261, 2576
1328224, 2263, 2576
1328228, 2262, 2572
1328232, 2258, 2573
1328236, 2257, 2574
1328240, 2261, 2576
1328244, 2262, 2577
1328248, 2258, 2571
1328252, 2256, 2574
1328256, 2257, 2572
1328260, 2260, 2576
1328264, 2263, 2575
1328268, 2257, 2571
1328272, 2256, 2572
1328276, 2257, 2573
1328280, 2258, 2576
1328284, 2260, 2577
1328288, 2256, 2570
1328292, 2257, 2571
1328296, 2256, 2573
1328300, 2260, 2576
1328304, 2259, 2576
1328308, 2256, 2571
1328312, 2257, 2573
1328316, 2256, 2573
1328320, 2261, 2576
1328324, 2263, 2577
1328328, 2256, 2569
1328332, 2259, 2573
1328336, 2258, 2573
1328340, 2260, 2576
1328344, 2259, 2576
1328348, 2257, 2569
1328352, 2257, 2573
1328356, 2257, 2573
1328360, 2259, 2576
1328364, 2261, 2577
1328368, 2256, 2570
1328372, 2256, 2573
1328376, 2257, 2571
1328380, 2258, 2575
1328384, 2261, 2577
1328388, 2257, 2569
1328392, 2257, 2574
1328396, 2256, 2572
1328400, 2258, 2576
1328404, 2262, 2576
1328408, 2256, 2571
1328412, 2258, 2574
1328416, 2259, 2573
1328420, 2261, 2576
1328424, 2259, 2578
1328428, 2256, 2571
1328432, 2258, 2571
1328436, 2257, 2575
1328440, 2259, 2575
1328444, 2259, 2577
1328448, 2257, 2571
1328452, 2257, 2572
1328456, 2257, 2570
1328460, 2260, 2576
1328464, 2262, 2576
1328468, 2256, 2571
1328472, 2258, 2571
1328476, 2256, 2572
1328480, 2259, 2575
1328484, 2263, 2576
1328488, 2256, 2569
1328492, 2256, 2573
1328496, 2257, 2573
1328500, 2263, 2576
1328504, 2261, 2576
1328508, 2256, 2570
1328512, 2259, 2571
1328516, 2257, 2573
1328520, 2261, 2575
1328524, 2263, 2576
1328528, 2257, 2569
1328532, 2256, 2573
1328536, 2258, 2573
1328540, 2262, 2576
1328544, 2262, 2576
1328548, 2256, 2571
1328552, 2257, 2574
1328556, 2257, 2574
1328560, 2262, 2573
1328564, 2264, 2576
1328568, 2256, 2571
1328572, 2257, 2573
1328576, 2257, 2573
1328580, 2261, 2576
1328584, 2262, 2576
1328588, 2256, 2568
1328592, 2258, 2573
1328596, 2261, 2574
1328600, 2259, 2576
1328604, 2261, 2576
1328608, 2253, 2571
1328612, 2257, 2572
1328616, 2258, 2571
1328620, 2261, 2575
1328624, 2260, 2576
1328628, 2256, 2570
1328632, 2258, 2571
1328636, 2257, 2573
1328640, 2262, 2575
1328644, 2261, 2577
1328648, 2256, 2571
1328652, 2257, 2572
1328656, 2257, 2572
1328660, 2258, 2575
1328664, 2262, 2576
1328668, 2256, 2570
1328672, 2257, 2571
1328676, 2256, 2573
1328680, 2261, 2576
1328684, 2261, 2576
1328688, 2256, 2570
1328692, 2257, 2573
1328696, 2257, 2571
1328700, 2258, 2574
1328704, 2266, 2576
1328708, 2256, 2570
1328712, 2258, 2573
1328716, 2257, 2575
1328720, 2261, 2575
1328724, 2261, 2576
1328728, 2256, 2572
1328732, 2256, 2570
1328736, 2258, 2571
1328740, 2261, 2575
1328744, 2262, 2576
1328748, 2256, 2571
1328752, 2257, 2571
1328756, 2257, 2571
1328760, 2261, 2576
1328764, 2262, 2577
1328768, 2256, 2569
1328772, 2258, 2571
1328776, 2257, 2573
1328780, 2262, 2576
1328784, 2263, 2577
1328788, 2257, 2570
1328792, 2256, 2574
1328796, 2258, 2573
1328800, 2260, 2574
1328804, 2263, 2576
1328808, 2256, 2570
1328812, 2256, 2571
1328816, 2256, 2571
1328820, 2259, 2576
1328824, 2263, 2576
1328828, 2256, 2570
1328832, 2257, 2574
1328836, 2258, 2574
1328840, 2259, 2576
1328844, 2263, 2576
1328848, 2256, 2569
1328852, 2257, 2573
1328856, 2257, 2574
1328860, 2259, 2576
1328864, 2262, 2576
1328868, 2257, 2573
1328872, 2260, 2574
1328876, 2256, 2573
1328880, 2262, 2576
1328884, 2261, 2577
1328888, 2257, 2571
1328892, 2258, 2575
1328896, 2256, 2571
1328900, 2259, 2574
1328904, 2262, 2576
1328908, 2256, 2571
1328912, 2258, 2571
1328916, 2259, 2573
1328920, 2261, 2575
1328924, 2262, 2576
1328928, 2258, 2569
1328932, 2259, 2571
1328936, 2258, 2571
1328940, 2261, 2575
1328944, 2263, 2577
1328948, 2256, 2572
