time, value
1979, 1877
1983, 1875
1987, 1875
1991, 1879
1995, 1878
1999, 1879
2003, 1872
2007, 1874
2011, 1877
2015, 1879
2019, 1878
2023, 1876
2027, 1877
2031, 1875
2035, 1877
2039, 1878
2043, 1875
2047, 1876
2051, 1876
2055, 1879
2059, 1878
2063, 1881
2067, 1877
2071, 1872
2075, 1877
2079, 1873
2083, 1877
2087, 1875
2091, 1875
2095, 1878
2099, 1878
2103, 1872
2107, 1881
2111, 1877
2115, 1878
2119, 1873
2123, 1875
2127, 1879
2131, 1875
2135, 1879
2139, 1877
2143, 1875
2147, 1875
2151, 1877
2155, 1875
2159, 1877
2163, 1877
2167, 1879
2171, 1874
2175, 1875
2179, 1879
2183, 1875
2187, 1878
2191, 1878
2195, 1876
2199, 1879
2203, 1877
2207, 1877
2211, 1879
2215, 1879
2219, 1879
2223, 1876
2227, 1876
2231, 1878
2235, 1877
2239, 1878
2243, 1875
2247, 1877
2251, 1877
2255, 1878
2259, 1878
2263, 1877
2267, 1879
2271, 1878
2275, 1875
2279, 1881
2283, 1878
2287, 1875
2291, 1874
2295, 1879
2299, 1878
2303, 1875
2307, 1875
2311, 1878
2315, 1879
2319, 1883
2323, 1877
2327, 1875
2331, 1877
2335, 1878
2339, 1873
2343, 1877
2347, 1875
2351, 1875
2355, 1879
2359, 1875
2363, 1877
2367, 1875
2371, 1876
2375, 1875
2379, 1877
2383, 1879
2387, 1878
2391, 1878
2395, 1884
2399, 1877
2403, 1875
2407, 1876
2411, 1880
2415, 1877
2419, 1879
2423, 1877
2427, 1879
2431, 1881
2435, 1878
2439, 1874
2443, 1875
2447, 1877
2451, 1874
2455, 1878
2459, 1878
2463, 1879
2467, 1875
2471, 1879
2475, 1877
2479, 1877
2483, 1875
2487, 1870
2491, 1878
2495, 1878
2499, 1875
2503, 1879
2507, 1877
2511, 1877
2515, 1877
2519, 1877
2523, 1877
2527, 1879
2531, 1877
2535, 1879
2539, 1877
2543, 1879
2547, 1877
2551, 1876
2555, 1881
2559, 1878
2563, 1876
2567, 1877
2571, 1879
2575, 1881
2579, 1877
2583, 1879
2587, 1875
2591, 1876
2595, 1877
2599, 1879
2603, 1876
2607, 1875
2611, 1875
2615, 1881
2619, 1877
2623, 1878
2627, 1879
2631, 1875
2635, 1878
2639, 1878
2643, 1877
2647, 1873
2651, 1877
2655, 1879
2659, 1879
2663, 1877
2667, 1876
2671, 1877
2675, 1881
2679, 1882
2683, 1876
2687, 1882
2691, 1877
2695, 1873
2699, 1878
2703, 1877
2707, 1879
