time, value, value2
4726640, 3228, 972
4726644, 3221, 976
4726648, 3218, 965
4726652, 3222, 971
4726656, 3218, 969
4726660, 3221, 974
4726664, 3227, 976
4726668, 3217, 966
4726672, 3219, 969
4726676, 3216, 969
4726680, 3222, 976
4726684, 3226, 976
4726688, 3218, 968
4726692, 3225, 967
4726696, 3220, 970
4726700, 3223, 974
4726704, 3225, 976
4726708, 3218, 968
4726712, 3222, 967
4726716, 3221, 971
4726720, 3223, 971
4726724, 3223, 976
4726728, 3218, 965
4726732, 3221, 969
4726736, 3219, 967
4726740, 3223, 974
4726744, 3223, 976
4726748, 3219, 967
4726752, 3221, 967
4726756, 3221, 967
4726760, 3220, 973
4726764, 3226, 975
4726768, 3216, 966
4726772, 3218, 969
4726776, 3219, 969
4726780, 3223, 975
4726784, 3223, 976
4726788, 3217, 972
4726792, 3220, 966
4726796, 3225, 967
4726800, 3225, 974
4726804, 3226, 975
4726808, 3218, 963
4726812, 3221, 970
4726816, 3221, 966
4726820, 3220, 973
4726824, 3223, 976
4726828, 3218, 967
4726832, 3219, 965
4726836, 3221, 967
4726840, 3223, 972
4726844, 3226, 974
4726848, 3219, 969
4726852, 3219, 970
4726856, 3219, 968
4726860, 3223, 967
4726864, 3225, 976
4726868, 3219, 966
4726872, 3220, 969
4726876, 3219, 968
4726880, 3225, 975
4726884, 3227, 976
4726888, 3219, 967
4726892, 3216, 970
4726896, 3219, 969
4726900, 3227, 974
4726904, 3227, 976
4726908, 3216, 967
4726912, 3217, 969
4726916, 3218, 966
4726920, 3221, 973
4726924, 3225, 976
4726928, 3216, 967
4726932, 3219, 970
4726936, 3221, 970
4726940, 3222, 975
4726944, 3227, 976
4726948, 3219, 965
4726952, 3220, 971
4726956, 3219, 969
4726960, 3220, 973
4726964, 3225, 976
4726968, 3217, 966
4726972, 3219, 971
4726976, 3220, 967
4726980, 3222, 974
4726984, 3227, 976
4726988, 3218, 966
4726992, 3219, 967
4726996, 3219, 970
4727000, 3224, 973
4727004, 3226, 977
4727008, 3217, 965
4727012, 3223, 969
4727016, 3222, 970
4727020, 3223, 975
4727024, 3225, 977
4727028, 3219, 966
4727032, 3223, 971
4727036, 3222, 971
4727040, 3223, 975
4727044, 3227, 974
4727048, 3216, 967
4727052, 3221, 970
4727056, 3223, 969
4727060, 3223, 976
4727064, 3227, 976
4727068, 3218, 966
4727072, 3219, 972
4727076, 3217, 970
4727080, 3223, 973
4727084, 3229, 975
4727088, 3222, 965
4727092, 3218, 967
4727096, 3225, 966
4727100, 3222, 974
4727104, 3223, 975
4727108, 3217, 967
4727112, 3221, 969
4727116, 3222, 967
4727120, 3223, 973
4727124, 3229, 976
4727128, 3221, 969
4727132, 3217, 970
4727136, 3218, 973
4727140, 3225, 973
4727144, 3230, 976
4727148, 3216, 964
4727152, 3219, 971
4727156, 3218, 967
4727160, 3225, 975
4727164, 3224, 976
4727168, 3217, 965
4727172, 3221, 967
4727176, 3219, 967
4727180, 3221, 975
4727184, 3227, 976
4727188, 3220, 966
4727192, 3218, 970
4727196, 3221, 971
4727200, 3221, 973
4727204, 3226, 976
4727208, 3219, 968
4727212, 3222, 970
4727216, 3221, 971
4727220, 3222, 973
4727224, 3227, 976
4727228, 3221, 964
4727232, 3219, 969
4727236, 3221, 967
4727240, 3222, 975
4727244, 3223, 976
4727248, 3219, 964
4727252, 3219, 969
4727256, 3219, 971
4727260, 3223, 973
4727264, 3225, 975
4727268, 3219, 967
4727272, 3219, 970
4727276, 3222, 971
4727280, 3221, 970
4727284, 3229, 976
4727288, 3217, 965
4727292, 3219, 969
4727296, 3218, 969
4727300, 3223, 972
4727304, 3222, 975
4727308, 3217, 969
4727312, 3220, 970
4727316, 3218, 970
4727320, 3223, 974
4727324, 3227, 976
4727328, 3220, 966
4727332, 3219, 970
4727336, 3220, 969
4727340, 3222, 974
4727344, 3226, 974
4727348, 3221, 965
4727352, 3221, 970
4727356, 3218, 971
4727360, 3225, 975
4727364, 3225, 975
4727368, 3218, 967
4727372, 3222, 971
4727376, 3218, 971
4727380, 3227, 975
4727384, 3226, 976
4727388, 3219, 965
4727392, 3221, 970
4727396, 3219, 969
4727400, 3226, 974
4727404, 3223, 976
4727408, 3217, 964
4727412, 3220, 965
4727416, 3219, 969
4727420, 3223, 972
4727424, 3227, 976
4727428, 3219, 966
4727432, 3219, 969
4727436, 3221, 970
4727440, 3225, 971
4727444, 3226, 976
4727448, 3219, 964
4727452, 3219, 969
4727456, 3221, 967
4727460, 3220, 973
4727464, 3226, 976
4727468, 3217, 966
4727472, 3221, 969
4727476, 3217, 969
4727480, 3221, 975
4727484, 3229, 976
4727488, 3219, 966
4727492, 3219, 971
4727496, 3221, 971
4727500, 3223, 973
4727504, 3222, 976
4727508, 3216, 966
4727512, 3218, 973
4727516, 3216, 971
4727520, 3223, 974
4727524, 3225, 975
4727528, 3219, 967
4727532, 3217, 969
4727536, 3217, 971
4727540, 3223, 974
4727544, 3225, 979
4727548, 3216, 966
4727552, 3219, 969
4727556, 3222, 969
4727560, 3221, 974
4727564, 3227, 976
4727568, 3219, 967
4727572, 3222, 967
4727576, 3220, 969
4727580, 3225, 974
4727584, 3225, 976
4727588, 3219, 966
4727592, 3221, 966
4727596, 3216, 969
4727600, 3223, 974
4727604, 3227, 976
4727608, 3218, 965
4727612, 3221, 970
4727616, 3219, 971
4727620, 3226, 974
4727624, 3227, 976
4727628, 3218, 967
4727632, 3219, 969
4727636, 3217, 970
4727640, 3223, 973
4727644, 3226, 977
4727648, 3218, 964
4727652, 3219, 967
4727656, 3218, 969
4727660, 3227, 975
4727664, 3225, 976
4727668, 3217, 964
4727672, 3221, 967
4727676, 3221, 969
4727680, 3221, 974
4727684, 3231, 976
4727688, 3216, 966
4727692, 3218, 970
4727696, 3217, 967
4727700, 3223, 972
4727704, 3223, 976
4727708, 3217, 967
4727712, 3218, 970
4727716, 3221, 970
4727720, 3221, 972
4727724, 3227, 976
4727728, 3219, 965
4727732, 3223, 967
4727736, 3219, 972
4727740, 3220, 973
4727744, 3227, 976
4727748, 3219, 967
4727752, 3220, 970
4727756, 3220, 970
4727760, 3222, 972
4727764, 3222, 976
4727768, 3219, 965
4727772, 3220, 971
4727776, 3221, 969
4727780, 3230, 974
4727784, 3229, 975
4727788, 3216, 966
4727792, 3219, 967
4727796, 3221, 969
4727800, 3221, 973
4727804, 3226, 976
4727808, 3219, 964
4727812, 3218, 967
4727816, 3222, 970
4727820, 3226, 973
4727824, 3225, 975
4727828, 3221, 967
4727832, 3219, 970
4727836, 3218, 965
4727840, 3223, 973
4727844, 3222, 976
4727848, 3217, 966
4727852, 3221, 969
4727856, 3222, 969
4727860, 3222, 973
4727864, 3229, 975
4727868, 3219, 965
4727872, 3219, 967
4727876, 3226, 971
4727880, 3222, 973
4727884, 3226, 976
4727888, 3221, 967
4727892, 3218, 967
4727896, 3222, 967
4727900, 3221, 972
4727904, 3225, 976
4727908, 3218, 965
4727912, 3218, 971
4727916, 3221, 971
4727920, 3221, 974
4727924, 3227, 976
4727928, 3218, 966
4727932, 3219, 967
4727936, 3220, 970
4727940, 3222, 974
4727944, 3223, 976
4727948, 3218, 967
4727952, 3218, 971
4727956, 3221, 967
4727960, 3222, 972
4727964, 3223, 973
4727968, 3218, 970
4727972, 3219, 968
4727976, 3218, 970
4727980, 3222, 974
4727984, 3223, 976
4727988, 3217, 967
4727992, 3218, 969
4727996, 3220, 969
4728000, 3222, 974
4728004, 3226, 976
4728008, 3217, 966
4728012, 3222, 967
4728016, 3218, 969
4728020, 3222, 975
4728024, 3223, 975
4728028, 3217, 966
4728032, 3219, 967
4728036, 3223, 969
4728040, 3225, 973
4728044, 3229, 975
4728048, 3219, 969
4728052, 3216, 967
4728056, 3219, 969
4728060, 3221, 972
4728064, 3227, 976
4728068, 3219, 967
4728072, 3221, 964
4728076, 3219, 969
4728080, 3221, 975
4728084, 3226, 976
4728088, 3221, 965
4728092, 3218, 967
4728096, 3217, 973
4728100, 3223, 972
4728104, 3222, 976
4728108, 3218, 965
4728112, 3219, 964
4728116, 3223, 970
4728120, 3223, 974
4728124, 3223, 976
4728128, 3225, 965
4728132, 3220, 969
4728136, 3221, 971
4728140, 3226, 974
4728144, 3226, 976
4728148, 3218, 965
4728152, 3219, 970
4728156, 3220, 967
4728160, 3223, 972
4728164, 3227, 976
4728168, 3217, 967
4728172, 3217, 967
4728176, 3219, 970
4728180, 3226, 974
4728184, 3226, 976
4728188, 3219, 965
4728192, 3220, 969
4728196, 3221, 969
4728200, 3223, 973
4728204, 3223, 976
4728208, 3218, 967
4728212, 3220, 970
4728216, 3220, 969
4728220, 3221, 975
4728224, 3226, 976
4728228, 3217, 967
4728232, 3219, 967
4728236, 3221, 970
4728240, 3222, 973
4728244, 3226, 976
4728248, 3217, 967
4728252, 3221, 967
4728256, 3221, 973
4728260, 3222, 973
4728264, 3223, 976
4728268, 3219, 967
4728272, 3221, 970
4728276, 3219, 971
4728280, 3225, 974
4728284, 3227, 976
4728288, 3218, 966
4728292, 3217, 970
4728296, 3221, 971
4728300, 3225, 971
4728304, 3227, 974
4728308, 3219, 965
4728312, 3218, 971
4728316, 3221, 971
4728320, 3223, 971
4728324, 3226, 976
4728328, 3220, 968
4728332, 3220, 969
4728336, 3219, 970
4728340, 3223, 974
4728344, 3226, 976
4728348, 3221, 966
4728352, 3217, 969
4728356, 3222, 969
4728360, 3221, 975
4728364, 3223, 976
4728368, 3217, 966
4728372, 3218, 969
4728376, 3221, 969
4728380, 3221, 972
4728384, 3227, 976
4728388, 3219, 967
4728392, 3219, 967
4728396, 3222, 972
4728400, 3223, 976
4728404, 3225, 978
4728408, 3218, 965
4728412, 3220, 970
4728416, 3219, 967
4728420, 3223, 972
4728424, 3226, 976
4728428, 3220, 970
4728432, 3219, 965
4728436, 3222, 970
4728440, 3222, 975
4728444, 3226, 976
4728448, 3218, 967
4728452, 3222, 971
4728456, 3221, 971
4728460, 3219, 972
4728464, 3223, 975
4728468, 3218, 969
4728472, 3218, 969
4728476, 3222, 969
4728480, 3221, 971
4728484, 3227, 976
4728488, 3215, 966
4728492, 3220, 967
4728496, 3219, 972
4728500, 3226, 975
4728504, 3225, 976
4728508, 3217, 966
4728512, 3221, 967
4728516, 3220, 970
4728520, 3221, 974
4728524, 3225, 976
4728528, 3218, 967
4728532, 3220, 967
4728536, 3226, 970
4728540, 3221, 973
4728544, 3231, 976
4728548, 3221, 965
4728552, 3217, 967
4728556, 3220, 971
4728560, 3221, 973
4728564, 3227, 976
4728568, 3217, 967
4728572, 3219, 971
4728576, 3218, 971
4728580, 3227, 974
4728584, 3226, 978
4728588, 3219, 974
4728592, 3219, 967
4728596, 3222, 970
4728600, 3221, 973
4728604, 3229, 976
4728608, 3218, 970
4728612, 3219, 966
4728616, 3221, 969
4728620, 3221, 973
4728624, 3227, 976
4728628, 3217, 968
4728632, 3217, 967
4728636, 3222, 966
4728640, 3227, 975
4728644, 3225, 976
4728648, 3219, 970
4728652, 3220, 969
4728656, 3220, 969
4728660, 3221, 971
4728664, 3223, 976
4728668, 3221, 963
4728672, 3222, 971
4728676, 3219, 972
4728680, 3222, 976
4728684, 3223, 976
4728688, 3217, 965
4728692, 3218, 970
4728696, 3221, 969
4728700, 3222, 973
4728704, 3227, 976
4728708, 3218, 966
4728712, 3216, 971
4728716, 3221, 971
4728720, 3217, 978
4728724, 3225, 974
4728728, 3217, 967
4728732, 3218, 967
4728736, 3219, 971
4728740, 3225, 974
4728744, 3225, 975
4728748, 3219, 969
4728752, 3217, 970
4728756, 3219, 971
4728760, 3223, 973
4728764, 3227, 976
4728768, 3216, 965
4728772, 3217, 967
4728776, 3220, 970
4728780, 3220, 974
4728784, 3229, 976
4728788, 3217, 970
4728792, 3219, 969
4728796, 3222, 970
4728800, 3221, 973
4728804, 3225, 976
4728808, 3218, 969
4728812, 3217, 967
4728816, 3221, 971
4728820, 3222, 975
4728824, 3225, 976
4728828, 3217, 968
4728832, 3220, 970
4728836, 3220, 969
4728840, 3226, 974
4728844, 3227, 976
4728848, 3218, 967
4728852, 3221, 969
4728856, 3218, 972
4728860, 3220, 973
4728864, 3223, 974
4728868, 3219, 963
4728872, 3217, 965
4728876, 3216, 971
4728880, 3221, 974
4728884, 3223, 975
4728888, 3217, 967
4728892, 3217, 966
4728896, 3222, 970
4728900, 3221, 973
4728904, 3227, 977
4728908, 3222, 970
4728912, 3218, 967
4728916, 3219, 969
4728920, 3219, 973
4728924, 3223, 975
4728928, 3216, 966
4728932, 3217, 969
4728936, 3223, 973
4728940, 3221, 973
4728944, 3227, 976
4728948, 3218, 967
4728952, 3217, 970
4728956, 3219, 971
4728960, 3225, 971
4728964, 3229, 976
4728968, 3219, 965
4728972, 3219, 971
4728976, 3221, 971
4728980, 3222, 975
4728984, 3227, 976
4728988, 3220, 965
4728992, 3222, 967
4728996, 3219, 970
4729000, 3222, 975
4729004, 3227, 977
