time, value, value2
4124296, 3232, 983
4124300, 3229, 983
4124304, 3232, 987
4124308, 3236, 993
4124312, 3233, 981
4124316, 3230, 983
4124320, 3230, 985
4124324, 3233, 990
4124328, 3236, 992
4124332, 3230, 978
4124336, 3233, 986
4124340, 3229, 986
4124344, 3231, 990
4124348, 3235, 991
4124352, 3230, 982
4124356, 3232, 987
4124360, 3231, 984
4124364, 3234, 989
4124368, 3235, 992
4124372, 3230, 981
4124376, 3231, 986
4124380, 3229, 982
4124384, 3235, 988
4124388, 3238, 991
4124392, 3230, 980
4124396, 3232, 982
4124400, 3231, 986
4124404, 3235, 989
4124408, 3237, 988
4124412, 3227, 980
4124416, 3231, 982
4124420, 3230, 983
4124424, 3234, 991
4124428, 3238, 991
4124432, 3227, 977
4124436, 3231, 983
4124440, 3231, 985
4124444, 3233, 988
4124448, 3234, 993
4124452, 3233, 979
4124456, 3233, 985
4124460, 3231, 981
4124464, 3234, 990
4124468, 3237, 992
4124472, 3229, 981
4124476, 3230, 981
4124480, 3229, 982
4124484, 3232, 989
4124488, 3235, 992
4124492, 3230, 979
4124496, 3229, 983
4124500, 3232, 986
4124504, 3233, 987
4124508, 3235, 993
4124512, 3229, 982
4124516, 3231, 983
4124520, 3229, 983
4124524, 3233, 989
4124528, 3235, 991
4124532, 3229, 982
4124536, 3229, 982
4124540, 3231, 982
4124544, 3235, 988
4124548, 3234, 991
4124552, 3229, 978
4124556, 3231, 985
4124560, 3229, 982
4124564, 3233, 990
4124568, 3234, 991
4124572, 3229, 981
4124576, 3231, 983
4124580, 3229, 985
4124584, 3233, 988
4124588, 3235, 991
4124592, 3228, 981
4124596, 3231, 983
4124600, 3231, 982
4124604, 3231, 988
4124608, 3234, 991
4124612, 3229, 981
4124616, 3229, 982
4124620, 3228, 983
4124624, 3234, 990
4124628, 3235, 987
4124632, 3225, 981
4124636, 3231, 983
4124640, 3235, 985
4124644, 3234, 987
4124648, 3238, 992
4124652, 3228, 978
4124656, 3230, 981
4124660, 3231, 983
4124664, 3235, 989
4124668, 3236, 989
4124672, 3229, 980
4124676, 3230, 985
4124680, 3230, 983
4124684, 3235, 990
4124688, 3234, 990
4124692, 3228, 980
4124696, 3233, 982
4124700, 3230, 985
4124704, 3231, 990
4124708, 3235, 991
4124712, 3229, 981
4124716, 3229, 986
4124720, 3232, 980
4124724, 3232, 991
4124728, 3235, 989
4124732, 3227, 977
4124736, 3230, 983
4124740, 3231, 983
4124744, 3233, 990
4124748, 3238, 991
4124752, 3228, 980
4124756, 3229, 982
4124760, 3234, 983
4124764, 3236, 989
4124768, 3234, 991
4124772, 3227, 983
4124776, 3226, 983
4124780, 3232, 983
4124784, 3232, 989
4124788, 3237, 991
4124792, 3232, 980
4124796, 3231, 980
4124800, 3228, 983
4124804, 3235, 988
4124808, 3237, 993
4124812, 3227, 981
4124816, 3231, 986
4124820, 3229, 983
4124824, 3234, 988
4124828, 3235, 991
4124832, 3229, 985
4124836, 3235, 985
4124840, 3231, 982
4124844, 3233, 986
4124848, 3235, 995
4124852, 3228, 979
4124856, 3231, 983
4124860, 3229, 989
4124864, 3234, 989
4124868, 3239, 992
4124872, 3227, 982
4124876, 3229, 982
4124880, 3231, 983
4124884, 3232, 989
4124888, 3236, 994
4124892, 3227, 986
4124896, 3227, 984
4124900, 3231, 983
4124904, 3237, 990
4124908, 3234, 992
4124912, 3226, 979
4124916, 3231, 983
4124920, 3230, 983
4124924, 3235, 987
4124928, 3235, 992
4124932, 3226, 979
4124936, 3231, 986
4124940, 3226, 980
4124944, 3232, 989
4124948, 3239, 991
4124952, 3233, 982
4124956, 3232, 981
4124960, 3229, 982
4124964, 3234, 985
4124968, 3236, 991
4124972, 3229, 981
4124976, 3232, 981
4124980, 3232, 987
4124984, 3233, 989
4124988, 3227, 991
4124992, 3229, 987
4124996, 3233, 982
4125000, 3230, 983
4125004, 3234, 989
4125008, 3237, 990
4125012, 3229, 982
4125016, 3233, 983
4125020, 3229, 986
4125024, 3233, 990
4125028, 3234, 992
4125032, 3231, 979
4125036, 3231, 987
4125040, 3232, 983
4125044, 3233, 989
4125048, 3238, 991
4125052, 3226, 982
4125056, 3233, 985
4125060, 3231, 985
4125064, 3235, 989
4125068, 3234, 992
4125072, 3229, 978
4125076, 3232, 986
4125080, 3232, 982
4125084, 3234, 987
4125088, 3237, 993
4125092, 3232, 981
4125096, 3230, 987
4125100, 3221, 985
4125104, 3232, 988
4125108, 3236, 993
4125112, 3230, 979
4125116, 3229, 982
4125120, 3231, 987
4125124, 3234, 989
4125128, 3237, 992
4125132, 3229, 981
4125136, 3230, 985
4125140, 3229, 981
4125144, 3234, 989
4125148, 3235, 988
4125152, 3229, 979
4125156, 3229, 983
4125160, 3231, 983
4125164, 3237, 989
4125168, 3234, 993
4125172, 3227, 981
4125176, 3233, 985
4125180, 3231, 983
4125184, 3231, 990
4125188, 3237, 992
4125192, 3221, 978
4125196, 3231, 983
4125200, 3231, 985
4125204, 3231, 989
4125208, 3235, 991
4125212, 3230, 981
4125216, 3231, 986
4125220, 3231, 982
4125224, 3232, 989
4125228, 3234, 992
4125232, 3229, 981
4125236, 3232, 985
4125240, 3230, 986
4125244, 3233, 989
4125248, 3235, 992
4125252, 3230, 979
4125256, 3234, 985
4125260, 3232, 984
4125264, 3235, 987
4125268, 3237, 993
4125272, 3229, 976
4125276, 3230, 982
4125280, 3231, 982
4125284, 3239, 990
4125288, 3233, 993
4125292, 3230, 977
4125296, 3233, 985
4125300, 3230, 985
4125304, 3233, 985
4125308, 3238, 991
4125312, 3232, 979
4125316, 3231, 988
4125320, 3236, 982
4125324, 3233, 989
4125328, 3234, 993
4125332, 3229, 979
4125336, 3230, 983
4125340, 3230, 983
4125344, 3234, 990
