time, value, value2
24, 723, 3422
28, 731, 3431
32, 731, 3430
36, 733, 3435
40, 733, 3438
44, 727, 3423
48, 729, 3430
52, 729, 3429
56, 732, 3437
60, 734, 3435
64, 727, 3426
68, 727, 3431
72, 729, 3435
76, 735, 3437
80, 735, 3436
84, 723, 3426
88, 730, 3431
92, 730, 3428
96, 731, 3431
100, 736, 3437
104, 726, 3427
108, 731, 3430
112, 730, 3431
116, 732, 3439
120, 736, 3440
124, 727, 3425
128, 730, 3433
132, 729, 3429
136, 731, 3430
140, 734, 3437
144, 730, 3418
148, 731, 3430
152, 727, 3424
156, 731, 3432
160, 734, 3443
164, 727, 3425
168, 731, 3429
172, 727, 3428
176, 734, 3435
180, 734, 3437
184, 726, 3424
188, 730, 3431
192, 725, 3429
196, 733, 3439
200, 735, 3440
204, 725, 3426
208, 732, 3427
212, 729, 3429
216, 734, 3438
220, 735, 3438
224, 727, 3423
228, 727, 3427
232, 726, 3431
236, 730, 3434
240, 735, 3440
244, 729, 3426
248, 731, 3434
252, 730, 3430
256, 734, 3437
260, 736, 3440
264, 729, 3425
268, 729, 3430
272, 730, 3427
276, 733, 3437
280, 735, 3440
284, 725, 3430
288, 727, 3426
292, 730, 3428
296, 733, 3439
300, 734, 3441
304, 724, 3426
308, 731, 3431
312, 729, 3427
316, 732, 3437
320, 736, 3440
324, 727, 3426
328, 727, 3420
332, 732, 3430
336, 731, 3437
340, 735, 3442
344, 726, 3443
348, 730, 3429
352, 727, 3424
356, 733, 3440
360, 735, 3437
364, 730, 3430
368, 733, 3431
372, 729, 3427
376, 731, 3433
380, 734, 3439
384, 730, 3424
388, 730, 3430
392, 731, 3425
396, 730, 3440
400, 734, 3440
404, 729, 3424
408, 727, 3435
412, 723, 3428
416, 733, 3439
420, 735, 3440
424, 727, 3425
428, 723, 3428
432, 731, 3430
436, 733, 3433
440, 734, 3442
444, 726, 3424
448, 729, 3435
452, 730, 3430
456, 733, 3438
460, 733, 3439
464, 725, 3424
468, 730, 3426
472, 730, 3427
476, 733, 3439
480, 736, 3439
484, 725, 3427
488, 731, 3429
492, 730, 3424
496, 732, 3434
500, 733, 3443
504, 725, 3423
508, 728, 3428
512, 729, 3427
516, 731, 3436
520, 736, 3438
524, 731, 3427
528, 731, 3431
532, 729, 3429
536, 733, 3439
540, 735, 3443
544, 728, 3426
548, 729, 3427
552, 727, 3427
556, 735, 3436
560, 735, 3442
564, 727, 3425
568, 731, 3433
572, 731, 3426
576, 733, 3437
580, 735, 3440
584, 731, 3425
588, 729, 3430
592, 732, 3425
596, 734, 3439
600, 736, 3442
604, 726, 3429
608, 729, 3430
612, 731, 3430
616, 731, 3438
620, 734, 3440
624, 727, 3427
628, 731, 3436
632, 729, 3430
636, 733, 3439
640, 733, 3442
644, 729, 3427
648, 731, 3431
652, 727, 3429
656, 734, 3437
660, 735, 3442
664, 725, 3426
668, 730, 3430
672, 730, 3430
676, 731, 3439
680, 735, 3445
684, 726, 3425
688, 731, 3433
692, 727, 3431
696, 731, 3436
700, 733, 3440
704, 729, 3429
708, 731, 3431
712, 732, 3433
716, 734, 3438
720, 734, 3442
724, 728, 3426
728, 727, 3431
732, 731, 3430
736, 734, 3434
740, 737, 3440
744, 727, 3421
748, 731, 3434
752, 727, 3434
756, 734, 3437
760, 733, 3441
764, 729, 3427
768, 727, 3429
772, 730, 3429
776, 734, 3437
780, 734, 3443
784, 727, 3428
788, 730, 3435
792, 729, 3430
796, 731, 3440
800, 737, 3440
804, 729, 3426
808, 727, 3431
812, 731, 3431
816, 733, 3437
820, 735, 3441
824, 727, 3431
828, 732, 3430
832, 727, 3431
836, 736, 3440
840, 738, 3440
844, 727, 3428
848, 731, 3434
852, 731, 3437
856, 733, 3435
860, 735, 3441
864, 728, 3431
868, 729, 3435
872, 730, 3430
876, 731, 3435
880, 735, 3443
884, 729, 3429
888, 727, 3437
892, 729, 3431
896, 732, 3441
900, 734, 3441
904, 727, 3426
908, 730, 3434
912, 732, 3435
916, 732, 3440
920, 734, 3441
924, 727, 3427
928, 729, 3436
932, 727, 3430
936, 732, 3439
940, 735, 3440
944, 725, 3433
948, 730, 3433
952, 727, 3435
956, 735, 3439
960, 733, 3442
964, 726, 3427
968, 730, 3431
972, 731, 3433
976, 733, 3438
980, 733, 3440
984, 730, 3434
988, 730, 3436
992, 731, 3435
