time, value
1069, 1843
1071, 1845
1073, 1844
1075, 1845
1077, 1847
1079, 1845
1081, 1845
1083, 1844
1085, 1842
1087, 1845
1089, 1842
1091, 1844
1093, 1847
1095, 1843
1097, 1846
1099, 1845
1101, 1844
1103, 1844
1105, 1845
1107, 1846
1109, 1845
1111, 1847
1113, 1844
1115, 1845
1117, 1843
1119, 1842
1121, 1845
1123, 1844
1125, 1846
1127, 1844
1129, 1844
1131, 1846
1133, 1845
1135, 1844
1137, 1843
1139, 1845
1141, 1845
1143, 1843
1145, 1845
1147, 1843
1149, 1845
1151, 1845
1153, 1845
1155, 1845
1157, 1845
1159, 1843
1161, 1843
1163, 1844
1165, 1844
1167, 1844
1169, 1845
1171, 1845
1173, 1842
1175, 1845
1177, 1847
1179, 1846
1181, 1843
1183, 1844
1185, 1844
1187, 1845
1189, 1846
1191, 1846
1193, 1842
1195, 1845
1197, 1845
1199, 1845
1201, 1845
1203, 1845
1205, 1845
1207, 1843
1209, 1845
1211, 1846
1213, 1846
1215, 1845
1217, 1846
1219, 1843
1221, 1842
1223, 1845
1225, 1845
1227, 1845
1229, 1845
1231, 1845
1233, 1845
1235, 1844
1237, 1843
1239, 1845
1241, 1845
1243, 1845
1245, 1846
1247, 1843
1249, 1846
1251, 1843
1253, 1845
1255, 1845
1257, 1844
1259, 1843
1261, 1846
1263, 1844
1265, 1846
1267, 1847
1269, 1843
1271, 1845
1273, 1845
1275, 1844
1277, 1844
1279, 1845
1281, 1845
1283, 1845
1285, 1845
1287, 1845
1289, 1843
1291, 1843
1293, 1845
1295, 1843
1297, 1844
1299, 1843
1301, 1843
1303, 1845
1305, 1845
1307, 1845
1309, 1845
1311, 1844
1313, 1845
1315, 1846
1317, 1846
1319, 1845
1321, 1845
1323, 1846
1325, 1845
1327, 1845
1329, 1844
1331, 1845
1333, 1842
1335, 1844
1337, 1845
1339, 1845
1341, 1845
1343, 1843
1345, 1845
1347, 1847
1349, 1845
1351, 1844
1353, 1846
1355, 1845
1357, 1845
1359, 1845
1361, 1845
1363, 1845
1365, 1846
1367, 1845
1369, 1846
1371, 1845
1373, 1845
1375, 1845
1377, 1845
1379, 1843
1381, 1845
1383, 1844
1385, 1843
1387, 1846
1389, 1845
1391, 1845
