time, value, value2
522780, 2267, 2567
522784, 2270, 2571
522788, 2267, 2571
522792, 2270, 2575
522796, 2273, 2576
522800, 2267, 2570
522804, 2266, 2571
522808, 2266, 2571
522812, 2271, 2573
522816, 2271, 2576
522820, 2267, 2570
522824, 2267, 2571
522828, 2268, 2567
522832, 2270, 2575
522836, 2272, 2576
522840, 2266, 2567
522844, 2266, 2569
522848, 2266, 2573
522852, 2270, 2573
522856, 2273, 2576
522860, 2266, 2559
522864, 2270, 2573
522868, 2267, 2569
522872, 2271, 2576
522876, 2271, 2576
522880, 2267, 2569
522884, 2269, 2572
522888, 2266, 2570
522892, 2270, 2574
522896, 2272, 2576
522900, 2266, 2571
522904, 2263, 2570
522908, 2268, 2571
522912, 2273, 2576
522916, 2271, 2576
522920, 2265, 2570
522924, 2269, 2571
522928, 2269, 2570
522932, 2269, 2575
522936, 2273, 2576
522940, 2267, 2569
522944, 2268, 2570
522948, 2269, 2570
522952, 2270, 2575
522956, 2272, 2576
522960, 2267, 2567
522964, 2269, 2572
522968, 2269, 2570
522972, 2271, 2572
522976, 2274, 2576
522980, 2267, 2567
522984, 2265, 2571
522988, 2267, 2572
522992, 2270, 2575
522996, 2274, 2576
523000, 2266, 2571
523004, 2268, 2571
523008, 2268, 2574
523012, 2272, 2576
523016, 2275, 2576
523020, 2266, 2570
523024, 2269, 2573
523028, 2269, 2570
523032, 2269, 2575
523036, 2271, 2576
523040, 2267, 2569
523044, 2267, 2571
523048, 2272, 2570
523052, 2272, 2574
523056, 2272, 2576
523060, 2267, 2569
523064, 2267, 2573
523068, 2267, 2569
523072, 2270, 2575
523076, 2271, 2576
523080, 2267, 2569
523084, 2269, 2573
523088, 2263, 2573
523092, 2269, 2575
523096, 2271, 2576
523100, 2267, 2570
523104, 2269, 2571
523108, 2267, 2570
523112, 2273, 2574
523116, 2272, 2577
523120, 2267, 2569
523124, 2267, 2573
523128, 2271, 2573
523132, 2273, 2574
523136, 2275, 2576
523140, 2265, 2570
523144, 2271, 2572
523148, 2267, 2574
523152, 2273, 2575
523156, 2274, 2576
523160, 2268, 2570
523164, 2269, 2571
523168, 2267, 2572
523172, 2270, 2575
523176, 2271, 2576
523180, 2266, 2571
523184, 2266, 2569
523188, 2268, 2570
523192, 2271, 2575
523196, 2273, 2576
523200, 2269, 2572
523204, 2269, 2570
523208, 2270, 2571
523212, 2271, 2572
523216, 2273, 2576
523220, 2267, 2569
523224, 2270, 2571
523228, 2267, 2571
523232, 2274, 2575
523236, 2272, 2576
523240, 2266, 2571
523244, 2268, 2571
523248, 2268, 2570
523252, 2270, 2574
523256, 2271, 2576
523260, 2265, 2559
523264, 2269, 2571
523268, 2269, 2570
523272, 2273, 2573
523276, 2273, 2576
523280, 2267, 2567
523284, 2269, 2575
523288, 2266, 2571
523292, 2271, 2575
523296, 2273, 2576
523300, 2264, 2567
523304, 2267, 2573
523308, 2267, 2569
523312, 2269, 2575
523316, 2271, 2576
523320, 2268, 2567
523324, 2268, 2571
523328, 2267, 2571
523332, 2271, 2575
523336, 2272, 2576
523340, 2265, 2570
523344, 2265, 2573
523348, 2266, 2570
523352, 2271, 2576
523356, 2274, 2576
523360, 2264, 2567
523364, 2266, 2570
523368, 2269, 2573
523372, 2271, 2576
523376, 2272, 2576
523380, 2265, 2569
523384, 2269, 2571
523388, 2268, 2573
523392, 2267, 2573
523396, 2273, 2576
523400, 2262, 2559
523404, 2266, 2571
523408, 2269, 2569
523412, 2269, 2575
523416, 2274, 2576
523420, 2263, 2569
523424, 2267, 2571
523428, 2266, 2571
523432, 2272, 2574
523436, 2272, 2576
523440, 2266, 2567
523444, 2269, 2569
523448, 2266, 2570
523452, 2269, 2575
523456, 2273, 2575
523460, 2267, 2569
523464, 2267, 2571
523468, 2269, 2571
523472, 2271, 2574
523476, 2270, 2576
523480, 2265, 2567
523484, 2267, 2572
523488, 2267, 2569
523492, 2271, 2576
523496, 2273, 2576
523500, 2265, 2569
523504, 2267, 2571
523508, 2266, 2570
523512, 2271, 2576
523516, 2270, 2577
523520, 2267, 2570
523524, 2267, 2572
523528, 2266, 2571
523532, 2270, 2573
523536, 2270, 2576
523540, 2263, 2567
523544, 2267, 2573
523548, 2267, 2574
523552, 2267, 2574
523556, 2272, 2576
523560, 2266, 2567
523564, 2267, 2570
523568, 2267, 2571
523572, 2274, 2576
523576, 2271, 2576
523580, 2267, 2566
523584, 2269, 2573
523588, 2268, 2571
523592, 2270, 2573
523596, 2273, 2576
523600, 2268, 2567
523604, 2267, 2572
523608, 2269, 2571
523612, 2270, 2576
523616, 2271, 2576
523620, 2267, 2570
523624, 2267, 2574
523628, 2267, 2571
523632, 2270, 2575
523636, 2271, 2576
523640, 2268, 2570
523644, 2270, 2573
523648, 2268, 2573
523652, 2270, 2574
523656, 2272, 2576
523660, 2266, 2570
523664, 2268, 2573
523668, 2267, 2572
523672, 2273, 2575
523676, 2270, 2576
523680, 2265, 2571
523684, 2267, 2570
523688, 2268, 2571
523692, 2271, 2575
523696, 2271, 2577
523700, 2266, 2567
523704, 2268, 2572
523708, 2268, 2571
523712, 2271, 2576
523716, 2272, 2576
523720, 2266, 2569
523724, 2267, 2572
523728, 2269, 2571
523732, 2269, 2576
523736, 2271, 2575
523740, 2263, 2571
523744, 2267, 2571
523748, 2265, 2571
523752, 2269, 2576
523756, 2271, 2576
523760, 2267, 2569
523764, 2266, 2567
523768, 2267, 2572
523772, 2272, 2571
523776, 2271, 2577
523780, 2263, 2569
523784, 2267, 2571
523788, 2265, 2571
523792, 2272, 2574
523796, 2274, 2576
523800, 2268, 2568
523804, 2268, 2573
523808, 2268, 2569
523812, 2272, 2576
523816, 2272, 2576
523820, 2266, 2568
523824, 2268, 2571
523828, 2267, 2573
523832, 2271, 2575
523836, 2271, 2576
523840, 2265, 2567
523844, 2266, 2572
523848, 2267, 2570
523852, 2270, 2573
523856, 2272, 2576
523860, 2263, 2571
523864, 2267, 2572
523868, 2267, 2570
523872, 2269, 2574
523876, 2274, 2576
523880, 2266, 2570
523884, 2272, 2571
523888, 2266, 2570
523892, 2271, 2575
523896, 2273, 2576
523900, 2267, 2570
523904, 2269, 2572
523908, 2267, 2570
523912, 2271, 2575
523916, 2273, 2576
523920, 2263, 2567
523924, 2267, 2570
523928, 2267, 2570
523932, 2271, 2576
523936, 2273, 2576
523940, 2270, 2570
523944, 2265, 2573
523948, 2267, 2571
523952, 2269, 2574
523956, 2273, 2576
523960, 2265, 2570
523964, 2266, 2569
523968, 2263, 2573
523972, 2272, 2574
523976, 2273, 2576
523980, 2267, 2569
523984, 2267, 2572
523988, 2268, 2574
523992, 2270, 2576
523996, 2273, 2576
524000, 2265, 2570
524004, 2263, 2570
524008, 2269, 2572
524012, 2271, 2574
524016, 2269, 2576
524020, 2268, 2567
524024, 2271, 2572
524028, 2266, 2571
524032, 2270, 2574
524036, 2273, 2576
524040, 2263, 2567
524044, 2265, 2572
524048, 2266, 2569
524052, 2269, 2576
524056, 2272, 2576
524060, 2267, 2559
524064, 2267, 2573
524068, 2269, 2569
524072, 2272, 2575
524076, 2271, 2576
524080, 2265, 2559
524084, 2263, 2571
524088, 2273, 2570
524092, 2271, 2575
524096, 2273, 2575
524100, 2266, 2559
524104, 2267, 2573
524108, 2267, 2569
524112, 2271, 2573
524116, 2272, 2576
524120, 2272, 2567
524124, 2268, 2574
524128, 2267, 2571
524132, 2270, 2575
524136, 2271, 2576
524140, 2266, 2570
524144, 2267, 2573
524148, 2269, 2571
524152, 2272, 2576
524156, 2272, 2576
524160, 2263, 2567
524164, 2266, 2567
524168, 2268, 2570
524172, 2270, 2576
524176, 2272, 2576
524180, 2266, 2571
524184, 2267, 2571
524188, 2269, 2570
524192, 2272, 2576
524196, 2271, 2576
524200, 2265, 2571
524204, 2267, 2572
524208, 2269, 2572
524212, 2271, 2576
524216, 2270, 2576
524220, 2265, 2559
524224, 2266, 2570
524228, 2265, 2571
524232, 2270, 2576
524236, 2272, 2576
524240, 2266, 2567
524244, 2269, 2571
524248, 2265, 2570
524252, 2270, 2575
524256, 2272, 2576
524260, 2265, 2570
524264, 2268, 2572
524268, 2269, 2571
524272, 2271, 2575
524276, 2271, 2576
524280, 2266, 2569
524284, 2267, 2572
524288, 2267, 2573
524292, 2270, 2576
524296, 2271, 2576
524300, 2263, 2569
524304, 2266, 2571
524308, 2263, 2569
524312, 2268, 2576
524316, 2271, 2576
524320, 2267, 2567
524324, 2267, 2575
524328, 2263, 2573
524332, 2269, 2576
524336, 2269, 2577
524340, 2262, 2567
524344, 2266, 2571
524348, 2266, 2573
524352, 2270, 2575
524356, 2273, 2576
524360, 2265, 2570
524364, 2269, 2574
524368, 2267, 2570
524372, 2266, 2576
524376, 2272, 2576
524380, 2261, 2571
524384, 2267, 2574
524388, 2266, 2574
524392, 2268, 2576
524396, 2271, 2576
524400, 2263, 2569
524404, 2266, 2574
524408, 2261, 2571
524412, 2267, 2575
524416, 2271, 2576
524420, 2265, 2570
524424, 2266, 2574
524428, 2265, 2572
524432, 2266, 2576
524436, 2273, 2576
524440, 2266, 2570
524444, 2265, 2572
524448, 2267, 2574
524452, 2273, 2576
524456, 2272, 2576
524460, 2263, 2570
524464, 2266, 2573
524468, 2263, 2573
524472, 2270, 2573
524476, 2270, 2576
524480, 2265, 2569
524484, 2267, 2573
524488, 2265, 2569
524492, 2269, 2576
524496, 2269, 2577
524500, 2261, 2572
524504, 2267, 2572
524508, 2265, 2573
524512, 2269, 2575
524516, 2271, 2576
524520, 2262, 2570
524524, 2265, 2573
524528, 2267, 2572
524532, 2269, 2576
524536, 2267, 2576
524540, 2263, 2571
524544, 2266, 2573
524548, 2267, 2572
524552, 2270, 2576
524556, 2271, 2576
524560, 2266, 2572
524564, 2266, 2574
524568, 2267, 2572
524572, 2271, 2575
524576, 2272, 2576
524580, 2267, 2571
524584, 2267, 2572
524588, 2269, 2570
524592, 2270, 2576
524596, 2271, 2576
524600, 2267, 2567
524604, 2269, 2571
524608, 2268, 2573
524612, 2271, 2576
524616, 2273, 2577
524620, 2263, 2570
524624, 2269, 2573
524628, 2266, 2572
524632, 2271, 2575
524636, 2273, 2577
524640, 2267, 2569
524644, 2270, 2574
524648, 2267, 2572
524652, 2269, 2574
524656, 2271, 2576
524660, 2267, 2559
524664, 2267, 2572
524668, 2266, 2574
524672, 2270, 2574
524676, 2273, 2576
524680, 2267, 2569
524684, 2266, 2570
524688, 2265, 2570
524692, 2272, 2576
524696, 2271, 2577
524700, 2263, 2571
524704, 2268, 2570
524708, 2268, 2571
524712, 2272, 2576
524716, 2271, 2576
524720, 2267, 2567
524724, 2266, 2571
524728, 2267, 2569
524732, 2270, 2576
524736, 2273, 2576
524740, 2266, 2567
524744, 2270, 2571
524748, 2270, 2571
524752, 2271, 2575
524756, 2273, 2576
524760, 2266, 2566
524764, 2267, 2571
524768, 2267, 2573
524772, 2271, 2576
524776, 2272, 2576
524780, 2266, 2570
524784, 2267, 2574
524788, 2268, 2573
524792, 2270, 2575
524796, 2273, 2577
524800, 2265, 2567
524804, 2271, 2571
524808, 2266, 2570
524812, 2269, 2576
524816, 2273, 2576
524820, 2266, 2569
524824, 2269, 2571
524828, 2266, 2572
524832, 2273, 2576
524836, 2275, 2576
524840, 2263, 2570
524844, 2267, 2570
524848, 2263, 2571
524852, 2270, 2575
524856, 2273, 2576
524860, 2267, 2567
524864, 2269, 2574
524868, 2266, 2567
524872, 2270, 2575
524876, 2271, 2576
524880, 2266, 2569
524884, 2267, 2572
524888, 2263, 2571
524892, 2271, 2575
524896, 2272, 2576
524900, 2261, 2571
524904, 2267, 2572
524908, 2268, 2571
524912, 2268, 2576
524916, 2272, 2576
524920, 2263, 2559
524924, 2267, 2571
524928, 2266, 2571
524932, 2270, 2575
524936, 2273, 2576
524940, 2261, 2567
524944, 2269, 2574
524948, 2269, 2571
524952, 2271, 2576
524956, 2273, 2576
524960, 2266, 2570
524964, 2267, 2573
524968, 2268, 2574
524972, 2267, 2575
524976, 2271, 2575
524980, 2263, 2570
524984, 2267, 2574
524988, 2270, 2570
524992, 2271, 2575
524996, 2273, 2576
525000, 2266, 2571
525004, 2266, 2575
525008, 2267, 2571
525012, 2271, 2575
525016, 2275, 2576
525020, 2263, 2570
525024, 2267, 2572
525028, 2266, 2569
525032, 2270, 2575
525036, 2272, 2577
525040, 2265, 2569
525044, 2267, 2574
525048, 2266, 2569
525052, 2271, 2576
525056, 2272, 2576
525060, 2263, 2569
525064, 2273, 2574
525068, 2267, 2567
525072, 2265, 2575
525076, 2271, 2576
525080, 2265, 2559
525084, 2267, 2573
525088, 2267, 2573
525092, 2270, 2574
525096, 2272, 2576
525100, 2266, 2569
525104, 2267, 2574
525108, 2267, 2567
525112, 2271, 2574
525116, 2273, 2576
525120, 2266, 2570
525124, 2269, 2572
525128, 2267, 2571
525132, 2268, 2575
525136, 2269, 2576
525140, 2263, 2559
525144, 2271, 2573
525148, 2268, 2571
525152, 2272, 2575
525156, 2271, 2576
525160, 2265, 2569
525164, 2267, 2567
525168, 2269, 2574
525172, 2271, 2576
525176, 2273, 2576
525180, 2263, 2571
525184, 2267, 2573
525188, 2266, 2570
525192, 2269, 2575
525196, 2272, 2576
525200, 2267, 2569
525204, 2268, 2574
525208, 2266, 2573
525212, 2272, 2574
525216, 2271, 2576
525220, 2267, 2568
525224, 2267, 2574
525228, 2267, 2573
525232, 2272, 2576
525236, 2272, 2577
525240, 2267, 2571
525244, 2266, 2573
525248, 2267, 2574
525252, 2270, 2576
525256, 2273, 2576
525260, 2265, 2568
525264, 2268, 2573
525268, 2269, 2571
525272, 2272, 2576
525276, 2272, 2576
525280, 2266, 2559
525284, 2266, 2571
525288, 2267, 2570
525292, 2271, 2576
525296, 2271, 2574
525300, 2266, 2570
525304, 2266, 2574
525308, 2267, 2572
525312, 2270, 2575
525316, 2271, 2577
525320, 2267, 2569
525324, 2266, 2571
525328, 2267, 2570
525332, 2271, 2575
525336, 2269, 2576
525340, 2265, 2559
525344, 2267, 2573
525348, 2266, 2569
525352, 2270, 2576
525356, 2272, 2576
525360, 2262, 2569
525364, 2266, 2571
525368, 2268, 2571
525372, 2269, 2575
525376, 2271, 2576
525380, 2266, 2567
525384, 2268, 2571
525388, 2266, 2571
525392, 2272, 2575
525396, 2273, 2576
525400, 2265, 2567
525404, 2269, 2571
525408, 2267, 2570
525412, 2269, 2576
525416, 2273, 2576
525420, 2265, 2567
525424, 2267, 2573
525428, 2270, 2569
525432, 2269, 2576
525436, 2273, 2576
525440, 2265, 2567
525444, 2267, 2571
525448, 2266, 2570
525452, 2269, 2575
525456, 2271, 2577
525460, 2264, 2570
525464, 2268, 2570
525468, 2266, 2573
525472, 2269, 2575
525476, 2274, 2576
525480, 2263, 2569
525484, 2265, 2573
525488, 2267, 2570
525492, 2269, 2575
525496, 2273, 2576
525500, 2265, 2569
525504, 2270, 2573
525508, 2261, 2572
525512, 2270, 2575
525516, 2272, 2576
525520, 2263, 2567
525524, 2267, 2571
525528, 2266, 2570
525532, 2272, 2576
525536, 2275, 2576
525540, 2266, 2570
525544, 2267, 2573
525548, 2267, 2570
525552, 2270, 2575
525556, 2271, 2576
525560, 2267, 2570
525564, 2270, 2573
525568, 2267, 2570
525572, 2270, 2576
525576, 2274, 2576
525580, 2266, 2569
525584, 2267, 2572
525588, 2267, 2572
525592, 2270, 2576
525596, 2271, 2576
525600, 2266, 2568
525604, 2267, 2572
525608, 2268, 2567
525612, 2268, 2576
525616, 2271, 2576
525620, 2265, 2559
525624, 2269, 2571
525628, 2262, 2571
525632, 2269, 2575
525636, 2273, 2576
525640, 2260, 2570
525644, 2267, 2576
525648, 2269, 2571
525652, 2271, 2576
525656, 2270, 2577
525660, 2266, 2567
525664, 2266, 2572
525668, 2267, 2571
525672, 2270, 2575
525676, 2272, 2577
525680, 2265, 2569
525684, 2266, 2573
525688, 2266, 2569
525692, 2269, 2576
525696, 2273, 2576
525700, 2263, 2569
525704, 2265, 2574
525708, 2265, 2571
525712, 2270, 2575
525716, 2271, 2576
525720, 2266, 2559
525724, 2269, 2576
525728, 2265, 2571
525732, 2270, 2576
525736, 2272, 2577
525740, 2265, 2559
525744, 2270, 2571
525748, 2268, 2568
525752, 2270, 2576
525756, 2273, 2576
525760, 2263, 2570
525764, 2266, 2571
525768, 2266, 2572
525772, 2270, 2575
525776, 2271, 2576
525780, 2267, 2569
525784, 2270, 2573
525788, 2269, 2570
525792, 2267, 2575
525796, 2271, 2576
525800, 2263, 2569
525804, 2268, 2570
525808, 2268, 2571
525812, 2271, 2576
525816, 2272, 2576
525820, 2263, 2567
525824, 2263, 2574
525828, 2268, 2572
525832, 2272, 2574
525836, 2274, 2576
525840, 2263, 2567
525844, 2267, 2573
525848, 2265, 2573
525852, 2270, 2571
525856, 2273, 2576
525860, 2268, 2569
525864, 2266, 2569
525868, 2266, 2570
525872, 2271, 2576
525876, 2270, 2576
525880, 2269, 2570
525884, 2266, 2572
525888, 2266, 2571
525892, 2269, 2575
525896, 2270, 2576
525900, 2263, 2571
525904, 2266, 2573
525908, 2267, 2571
525912, 2270, 2573
525916, 2272, 2576
525920, 2263, 2570
525924, 2267, 2572
525928, 2269, 2573
525932, 2269, 2576
525936, 2269, 2576
525940, 2263, 2567
525944, 2266, 2570
525948, 2268, 2569
525952, 2270, 2576
525956, 2270, 2576
525960, 2265, 2572
525964, 2267, 2573
525968, 2267, 2576
525972, 2269, 2576
525976, 2271, 2576
525980, 2263, 2569
525984, 2265, 2573
525988, 2267, 2572
525992, 2273, 2576
525996, 2271, 2576
526000, 2264, 2567
526004, 2268, 2574
526008, 2267, 2570
526012, 2269, 2576
526016, 2274, 2576
526020, 2265, 2571
526024, 2269, 2572
526028, 2267, 2571
526032, 2270, 2575
526036, 2277, 2577
526040, 2266, 2570
526044, 2271, 2573
526048, 2266, 2573
526052, 2271, 2576
526056, 2271, 2577
526060, 2266, 2569
526064, 2270, 2574
526068, 2266, 2571
526072, 2270, 2579
526076, 2271, 2576
526080, 2265, 2567
526084, 2267, 2571
526088, 2269, 2570
526092, 2269, 2576
526096, 2271, 2576
526100, 2266, 2569
526104, 2267, 2571
526108, 2267, 2569
526112, 2269, 2575
526116, 2273, 2576
526120, 2265, 2571
526124, 2267, 2571
526128, 2263, 2571
526132, 2270, 2576
526136, 2273, 2576
526140, 2268, 2569
526144, 2267, 2573
526148, 2269, 2573
526152, 2272, 2575
526156, 2273, 2577
526160, 2271, 2570
526164, 2270, 2573
526168, 2269, 2573
526172, 2271, 2576
526176, 2274, 2576
