time, value, value2
3245776, 3216, 950
3245780, 3216, 955
3245784, 3216, 951
3245788, 3222, 959
3245792, 3221, 959
3245796, 3216, 951
3245800, 3217, 955
3245804, 3218, 950
3245808, 3221, 960
3245812, 3217, 957
3245816, 3216, 950
3245820, 3216, 956
3245824, 3216, 951
3245828, 3221, 960
3245832, 3218, 955
3245836, 3216, 953
3245840, 3220, 956
3245844, 3217, 953
3245848, 3219, 959
3245852, 3219, 957
3245856, 3216, 951
3245860, 3219, 957
3245864, 3216, 951
3245868, 3217, 960
3245872, 3220, 955
3245876, 3216, 949
3245880, 3218, 953
3245884, 3216, 955
3245888, 3221, 960
3245892, 3219, 956
3245896, 3216, 951
3245900, 3217, 953
3245904, 3218, 950
3245908, 3219, 959
3245912, 3217, 957
3245916, 3216, 953
3245920, 3219, 957
3245924, 3217, 953
3245928, 3223, 958
3245932, 3219, 959
3245936, 3216, 950
3245940, 3219, 958
3245944, 3217, 954
3245948, 3219, 959
3245952, 3216, 955
3245956, 3216, 951
3245960, 3218, 955
3245964, 3216, 954
3245968, 3222, 959
3245972, 3218, 957
3245976, 3216, 945
3245980, 3216, 958
3245984, 3217, 954
3245988, 3218, 959
3245992, 3219, 956
3245996, 3216, 950
3246000, 3219, 958
3246004, 3218, 953
3246008, 3222, 959
3246012, 3219, 957
3246016, 3213, 950
3246020, 3219, 954
3246024, 3215, 950
3246028, 3222, 959
3246032, 3220, 955
3246036, 3216, 951
3246040, 3220, 954
3246044, 3217, 951
3246048, 3221, 959
3246052, 3217, 957
3246056, 3216, 949
3246060, 3218, 957
3246064, 3216, 955
3246068, 3219, 960
3246072, 3221, 957
3246076, 3216, 951
3246080, 3219, 957
3246084, 3217, 953
3246088, 3221, 960
3246092, 3219, 960
3246096, 3216, 951
3246100, 3219, 957
3246104, 3216, 954
3246108, 3220, 960
3246112, 3219, 956
3246116, 3216, 949
3246120, 3218, 954
3246124, 3216, 954
3246128, 3217, 959
3246132, 3219, 955
3246136, 3217, 949
3246140, 3219, 957
3246144, 3217, 951
3246148, 3219, 960
3246152, 3218, 956
3246156, 3216, 950
3246160, 3218, 955
3246164, 3217, 951
3246168, 3222, 960
3246172, 3218, 955
3246176, 3215, 951
3246180, 3217, 955
3246184, 3216, 955
3246188, 3221, 957
3246192, 3218, 956
3246196, 3214, 951
3246200, 3216, 953
3246204, 3217, 955
3246208, 3219, 960
3246212, 3218, 954
3246216, 3216, 954
3246220, 3219, 957
3246224, 3217, 953
3246228, 3221, 961
3246232, 3217, 953
3246236, 3216, 951
3246240, 3217, 957
3246244, 3216, 955
3246248, 3220, 959
3246252, 3218, 959
3246256, 3218, 951
3246260, 3216, 957
3246264, 3216, 951
3246268, 3219, 960
3246272, 3217, 954
3246276, 3216, 951
3246280, 3218, 954
3246284, 3217, 953
3246288, 3221, 960
3246292, 3218, 957
3246296, 3215, 949
3246300, 3218, 955
3246304, 3216, 953
3246308, 3219, 959
3246312, 3217, 955
3246316, 3216, 950
3246320, 3217, 957
3246324, 3216, 953
3246328, 3221, 958
3246332, 3216, 954
3246336, 3214, 953
3246340, 3217, 957
3246344, 3216, 954
3246348, 3222, 958
3246352, 3217, 956
3246356, 3216, 953
3246360, 3219, 955
3246364, 3219, 950
3246368, 3221, 960
3246372, 3219, 954
3246376, 3218, 951
3246380, 3218, 955
3246384, 3216, 950
3246388, 3219, 960
3246392, 3219, 953
3246396, 3216, 951
3246400, 3216, 955
3246404, 3216, 949
3246408, 3223, 960
3246412, 3216, 956
3246416, 3216, 951
3246420, 3216, 956
3246424, 3216, 951
3246428, 3221, 959
3246432, 3216, 954
3246436, 3219, 950
3246440, 3217, 955
3246444, 3218, 953
3246448, 3219, 960
3246452, 3217, 955
3246456, 3216, 949
3246460, 3217, 955
3246464, 3218, 955
3246468, 3221, 960
3246472, 3216, 953
3246476, 3216, 949
3246480, 3219, 958
3246484, 3217, 951
3246488, 3223, 960
3246492, 3216, 953
3246496, 3216, 951
3246500, 3218, 955
3246504, 3218, 957
3246508, 3219, 960
3246512, 3216, 954
3246516, 3216, 951
3246520, 3219, 955
3246524, 3216, 955
3246528, 3222, 960
3246532, 3216, 949
3246536, 3215, 949
3246540, 3216, 958
3246544, 3216, 955
3246548, 3219, 960
3246552, 3216, 955
3246556, 3216, 950
3246560, 3217, 957
3246564, 3216, 953
3246568, 3219, 961
3246572, 3219, 954
3246576, 3216, 950
3246580, 3217, 955
3246584, 3216, 956
3246588, 3219, 960
3246592, 3217, 955
3246596, 3216, 950
3246600, 3217, 956
3246604, 3217, 954
3246608, 3219, 959
3246612, 3216, 953
3246616, 3216, 950
3246620, 3217, 956
3246624, 3217, 953
3246628, 3221, 959
3246632, 3217, 953
3246636, 3216, 949
3246640, 3219, 958
3246644, 3217, 954
3246648, 3218, 960
3246652, 3217, 953
3246656, 3216, 950
3246660, 3221, 957
3246664, 3217, 954
3246668, 3222, 959
3246672, 3216, 954
3246676, 3217, 951
3246680, 3216, 957
3246684, 3217, 953
3246688, 3223, 960
3246692, 3217, 954
3246696, 3216, 950
3246700, 3217, 955
3246704, 3216, 955
3246708, 3219, 959
3246712, 3216, 950
3246716, 3216, 949
3246720, 3219, 958
3246724, 3218, 955
3246728, 3223, 959
3246732, 3216, 949
3246736, 3218, 953
3246740, 3219, 959
3246744, 3216, 955
3246748, 3225, 960
3246752, 3217, 955
3246756, 3216, 947
3246760, 3219, 958
3246764, 3219, 954
3246768, 3218, 960
3246772, 3216, 951
3246776, 3216, 951
3246780, 3218, 955
3246784, 3217, 954
3246788, 3215, 960
3246792, 3216, 955
3246796, 3216, 953
3246800, 3216, 957
3246804, 3217, 954
3246808, 3221, 960
3246812, 3218, 953
3246816, 3216, 950
3246820, 3219, 957
3246824, 3219, 956
3246828, 3221, 960
3246832, 3217, 953
3246836, 3216, 953
3246840, 3223, 958
3246844, 3217, 955
3246848, 3223, 959
3246852, 3218, 950
3246856, 3217, 950
3246860, 3217, 958
3246864, 3216, 956
3246868, 3219, 960
3246872, 3216, 953
3246876, 3216, 953
3246880, 3218, 959
3246884, 3217, 955
3246888, 3219, 960
3246892, 3217, 954
3246896, 3216, 951
3246900, 3216, 955
3246904, 3216, 951
3246908, 3220, 960
3246912, 3215, 951
3246916, 3217, 951
3246920, 3219, 958
3246924, 3217, 956
3246928, 3219, 960
3246932, 3216, 950
3246936, 3216, 953
3246940, 3220, 958
3246944, 3217, 954
3246948, 3219, 959
3246952, 3218, 950
3246956, 3216, 951
3246960, 3219, 958
3246964, 3217, 954
3246968, 3223, 959
3246972, 3216, 954
3246976, 3217, 950
3246980, 3217, 957
3246984, 3217, 955
3246988, 3221, 960
3246992, 3216, 955
3246996, 3216, 950
3247000, 3217, 958
3247004, 3218, 955
3247008, 3223, 962
3247012, 3217, 954
3247016, 3216, 951
3247020, 3218, 959
3247024, 3216, 958
3247028, 3221, 959
3247032, 3217, 952
3247036, 3216, 951
3247040, 3219, 957
3247044, 3217, 953
3247048, 3223, 960
3247052, 3216, 951
3247056, 3214, 950
3247060, 3219, 959
3247064, 3219, 957
3247068, 3217, 961
3247072, 3216, 950
3247076, 3219, 951
3247080, 3219, 957
3247084, 3217, 955
3247088, 3222, 960
3247092, 3216, 951
3247096, 3215, 949
3247100, 3218, 958
3247104, 3216, 960
3247108, 3221, 961
3247112, 3218, 951
3247116, 3219, 951
3247120, 3221, 956
3247124, 3217, 957
3247128, 3222, 960
3247132, 3216, 949
3247136, 3216, 951
3247140, 3218, 958
3247144, 3217, 956
3247148, 3221, 960
3247152, 3216, 949
3247156, 3216, 953
3247160, 3218, 959
3247164, 3218, 957
3247168, 3223, 961
3247172, 3216, 951
3247176, 3216, 953
3247180, 3222, 956
3247184, 3221, 957
3247188, 3225, 959
3247192, 3213, 950
3247196, 3216, 951
3247200, 3216, 957
3247204, 3220, 957
3247208, 3221, 959
3247212, 3216, 951
3247216, 3215, 953
3247220, 3221, 956
3247224, 3216, 956
3247228, 3220, 959
3247232, 3213, 951
3247236, 3216, 950
3247240, 3221, 957
3247244, 3219, 955
3247248, 3221, 960
3247252, 3216, 954
3247256, 3216, 954
3247260, 3219, 958
3247264, 3218, 956
3247268, 3222, 959
3247272, 3216, 954
3247276, 3217, 954
3247280, 3219, 955
3247284, 3221, 957
3247288, 3224, 960
3247292, 3216, 951
3247296, 3216, 952
3247300, 3217, 959
3247304, 3219, 955
3247308, 3219, 960
3247312, 3216, 949
3247316, 3216, 951
3247320, 3219, 955
3247324, 3221, 958
3247328, 3221, 960
3247332, 3217, 954
3247336, 3216, 950
3247340, 3218, 957
3247344, 3217, 955
3247348, 3222, 960
3247352, 3217, 951
3247356, 3216, 949
3247360, 3218, 955
3247364, 3218, 958
3247368, 3221, 960
3247372, 3216, 953
3247376, 3216, 951
3247380, 3219, 957
3247384, 3219, 957
3247388, 3225, 960
3247392, 3216, 951
3247396, 3216, 953
3247400, 3217, 956
3247404, 3219, 956
3247408, 3223, 959
3247412, 3216, 951
3247416, 3218, 953
3247420, 3220, 959
3247424, 3218, 955
3247428, 3222, 960
3247432, 3216, 950
3247436, 3215, 951
3247440, 3217, 957
3247444, 3216, 957
3247448, 3221, 959
3247452, 3216, 951
3247456, 3219, 954
3247460, 3219, 955
3247464, 3221, 953
3247468, 3222, 961
3247472, 3216, 950
3247476, 3216, 953
3247480, 3218, 955
3247484, 3219, 957
3247488, 3221, 959
3247492, 3218, 953
3247496, 3216, 951
3247500, 3219, 955
3247504, 3216, 959
3247508, 3223, 960
3247512, 3216, 951
3247516, 3217, 953
3247520, 3218, 955
3247524, 3219, 959
3247528, 3221, 960
3247532, 3216, 949
3247536, 3216, 951
3247540, 3217, 954
3247544, 3219, 957
3247548, 3222, 960
3247552, 3216, 951
3247556, 3217, 951
3247560, 3218, 955
3247564, 3218, 957
3247568, 3221, 960
3247572, 3216, 956
3247576, 3216, 951
3247580, 3217, 957
3247584, 3218, 958
3247588, 3219, 959
3247592, 3216, 953
3247596, 3216, 951
3247600, 3219, 954
3247604, 3218, 956
3247608, 3220, 960
3247612, 3216, 949
3247616, 3216, 950
3247620, 3217, 955
3247624, 3217, 957
3247628, 3221, 961
3247632, 3222, 951
3247636, 3217, 951
3247640, 3219, 954
3247644, 3218, 958
3247648, 3223, 962
